Source Title (newly added titles are highlighted in red),Print-ISSN,E-ISSN,,,,,,,,,,
American Journal of Heat and Mass Transfer,,23745398,,,,,,,,,,
American Journal of Immunology,1553619X,15583775,,,,,,,,,,
American Journal of Infectious Diseases,15536203,15586340,,,,,,,,,,
American Journal of Neurodegenerative Disease,,2165591X,,,,,,,,,,
American Journal of Pharmacology and Toxicology,15574962,15574970,,,,,,,,,,
American Journal of Plant Physiology,15574539,15574547,,,,,,,,,,
American Journal of Semiotics,02777126,21532990,,,,,,,,,,
American Journal of Stem Cells,,21604150,,,,,,,,,,
American Journal of Translational Research,,19438141,,,,,,,,,,
AMS Review,1869-8182,,,,,,,,,,,
Analecta Bollandiana,00032468,25070290,,,,,,,,,,
Anales de Documentacion,15752437,16977904,,,,,,,,,,
Anales de la Real Academia Nacional de Farmacia,16974271,1697428X,,,,,,,,,,
Anales Venezolanos de Nutricion,07980752,,,,,,,,,,,
Annals of the Romanian Society for Cell Biology,15836258,,,,,,,,,,,
Annals of Translational Medicine,23055839,23055847,,,,,,,,,,
Annals of Tropical Medicine and Public Health,,09746005,,,,,,,,,,
Annual Research and Review in Biology,,2347565X,,,,,,,,,,
Anthropologist,09720073,,,,,,,,,,,
Applied Mathematical Sciences,1312885X,13147552,,,,,,,,,,
Applied Mechanics and Materials,16609336,16627482,,,,,,,,,,
Arabian Journal of Geosciences,18667511,18667538,,,,,,,,,,
Archiv fur Kriminologie,00039225,,,,,,,,,,,
Archives of Clinical Microbiology,,19898436,,,,,,,,,,
Archivos de Medicina,,16989465,,,,,,,,,,
Archivos Venezolanos de Farmacología y Terapeutica,07980264,26107988,,,,,,,,,,
Ars Pharmaceutica,,23409894,,,,,,,,,,
Asia Life Sciences,01173375,,,,,,,,,,,
Asian Agri-History,09717730,,,,,,,,,,,
Asian EFL Journal,17381460,,,,,,,,,,,
Asian ESP Journal,18333001,22060979,,,,,,,,,,
Asian Journal of Agricultural Research,18191894,,,,,,,,,,,
Asian Journal of Animal and Veterinary Advances,16839919,,,,,,,,,,,
Asian Journal of Animal Sciences,18191878,,,,,,,,,,,
Asian Journal of Applied Sciences,19963343,,,,,,,,,,,
Asian Journal of Biochemistry,18159923,,,,,,,,,,,
Asian Journal of Cell Biology,18140068,,,,,,,,,,,
Asian Journal of Clinical Nutrition,19921470,20772033,,,,,,,,,,
Asian Journal of Crop Science,19947879,20772041,,,,,,,,,,
Asian Journal of Earth Sciences,18191886,21523509,,,,,,,,,,
Asian Journal of Epidemiology,19921462,2077205X,,,,,,,,,,
Asian Journal of Information Technology,16823915,19935994,,,,,,,,,,
"Asian Journal of Microbiology, Biotechnology and Environmental Sciences",09723005,,,,,,,,,,,
Asian Journal of Pharmaceutical and Clinical Research,09742441,24553891,,,,,,,,,,
Asian Journal of Pharmaceutical Research and Health Care,22501444,22501460,,,,,,,,,,
Asian Journal of Pharmaceutics,09738398,1998409X,,,,,,,,,,
Asian Journal of Plant Pathology,18191541,,,,,,,,,,,
Asian Journal of Poultry Science,18193609,,,,,,,,,,,
Asian Journal of Scientific Research,19921454,20772076,,,,,,,,,,
Asian Social Science,19112017,19112025,,,,,,,,,,
AStA Wirtschafts- und Sozialstatistisches Archiv,18638155,18638163,,,,,,,,,,
Atti della Societa Toscana di Scienze Naturali,03657655,,,,,,,,,,,
Aufbereitungs-Technik,0004783X,,,,,,,,,,,
Australasian Medical Journal,,18361935,,,,,,,,,,
Australian Entomologist,13206133,,,,,,,,,,,
Australian Field Ornithology,14480107,22063447,,,,,,,,,,
BAG - Journal of Basic and Applied Genetics,16660390,18526233,,,,,,,,,,
Bangladesh Journal of Plant Taxonomy,10282092,22247297,,,,,,,,,,
Biochemical and Cellular Archives,09725075,09761772,,,,,,,,,,
Biology and Medicine,,09748369,,,,,,,,,,
Biomedical Research,0970938X,09761683,,,,,,,,,,
Biomedical Reviews,1310392X,13141929,,,,,,,,,,
Biophysical Reviews and Letters,17930480,17937035,,,,,,,,,,
Bioscience Research,18119506,22183973,,,,,,,,,,
"Biosciences, Biotechnology Research Asia",09731245,,,,,,,,,,,
Biotechnology,1682296X,16822978,,,,,,,,,,
BioTechnology: An Indian Journal,09747435,,,,,,,,,,,
Blutalkohol,00065250,,,,,,,,,,,
Blyttia,00065269,18943985,,,,,,,,,,
Bolest,12120634,12126861,,,,,,,,,,
Boletin Tecnico/Technical Bulletin,0376723X,,,,,,,,,,,
Bridge,07376278,,,,,,,,,,,
Bulletin d'Association de Geographes Francais,00045322,22755195,,,,,,,,,,
Bulletin Minerologie Petrologie,25707337,25707345,,,,,,,,,,
Business and Economic Horizons,,18045006,,,,,,,,,,
C e ca,00456152,,,,,,,,,,,
Campus Virtuales,,22551514,,,,,,,,,,
Canadian Journal of Geriatrics,17181879,,,,,,,,,,,
Carbon Science and Technology,,09740546,,,,,,,,,,
Cardiology (Pakistan),18118194,19936117,,,,,,,,,,
Central Asia and the Caucasus,14046091,,,,,,,,,,,
Ceska Revmatologie,12107905,18054463,,,,,,,,,,
Chemical Engineering,00092460,1945368X,,,,,,,,,,
Chemical Engineering Education,00092479,21656428,,,,,,,,,,
Chemical Engineering Progress,03607275,19450710,,,,,,,,,,
Chemistry,08619255,13138235,,,,,,,,,,
Chinese Journal of Cancer Research,10009604,19930631,,,,,,,,,,
Chinesische Medizin,09302786,21965668,,,,,,,,,,
Chung Cheng Ling Hsueh Pao,02556030,,,,,,,,,,,
Clay Research,02557193,09744509,,,,,,,,,,
Clinical Case Reports,,20500904,,,,,,,,,,
Clinical Rhinology,09744630,09756968,,,,,,,,,,
Colourage,00101826,,,,,,,,,,,
Communications In Applied Analysis,10832564,,,,,,,,,,,
Compusoft,,23200790,,,,,,,,,,
Computer Methods in Materials Science,16418581,,,,,,,,,,,
Congenital Anomalies,09143505,,,,,,,,,,,
Contemporary Engineering Sciences,13136569,13147641,,,,,,,,,,
Core Evidence,15551741,1555175X,,,,,,,,,,
Corella,01550438,22034420,,,,,,,,,,
Corporate Board Role Duties and Composition,18108601,23122722,,,,,,,,,,
Corporate Ownership and Control,17279232,18103057,,,,,,,,,,
Corps and Psychisme,24964476,25536087,,,,,,,,,,
Cryptologia,01611194,15581586,,,,,,,,,,
Cuadernos de Vivienda y Urbanismo,20272103,21450226,,,,,,,,,,
Current Biomarker Findings,,22302492,,,,,,,,,,
Current Neurobiology,09759042,09761705,,,,,,,,,,
Current Pediatric Research         ,0971-9032,0976-1691,,,,,,,,,,
Current Research In Tuberculosis,18193366,21523363,,,,,,,,,,
Der Pharma Chemica,,0975413X,,,,,,,,,,
Der Pharmacia Lettre,,09755071,,,,,,,,,,
Dermatolgie in Beruf und Umwelt,1438776X,16167090,,,,,,,,,,
"Dermatologia Cosmetica, Medica y Quirurgica",16654390,,,,,,,,,,,
Deutsche Zeitschrift fur Akupunktur,04156412,14394359,,,,,,,,,,
Deutsche Zeitschrift fur Onkologie,16175891,14390930,,,,,,,,,,
Deviance et Societe,03787931,22964096,,,,,,,,,,
Dhaka University Journal of Pharmaceutical Sciences,18161820,18161839,,,,,,,,,,
Diabetes and Primary Care,14668955,,,,,,,,,,,
"Diabetes, Stoffwechsel und Herz",18617603,,,,,,,,,,,
Dialisis y Trasplante,18862845,18867278,,,,,,,,,,
Diversity & Equality in Health and Care,20495471,,,,,,,,,,,
Drug Invention Today,,09757619,,,,,,,,,,
Dynamic Systems and Applications,10562176,,,,,,,,,,,
Dynamische Psychiatrie,0012740X,,,,,,,,,,,
Eastern Anthropologist,00128686,,,,,,,,,,,
"Ecology, Environment and Conservation",0971765X,,,,,,,,,,,
"Economics, Management and Financial Markets",18423191,1938212X,,,,,,,,,,
Ecos - Review of Conservation,,23970944,,,,,,,,,,
Education in the Knowledge Society,,24448729,,,,,,,,,,
Education Sciences: Theory and Practice,26305984,21487561,,,,,,,,,,
Ekonomista,00133205,22996184,,,,,,,,,,
Electronic Journal of Geotechnical Engineering,,10893032,,,,,,,,,,
Elementary Education Online,,13053515,,,,,,,,,,
Endokrinologya,13108131,,,,,,,,,,,
Energy Education Science and Technology Part A: Energy Science and Research,1308772X,,,,,,,,,,,
Energy Education Science and Technology Part B: Social and Educational Studies,13087711,,,,,,,,,,,
Engineering Design Graphics Journal,00462012,19499167,,,,,,,,,,
English Language Teaching,19164742,19164750,,,,,,,,,,
Entomologist''s Gazette,00138894,,,,,,,,,,,
Entrepreneurial Executive,10878955,19394667,,,,,,,,,,
Entrepreneurship and Sustainability Issues,,23450282,,,,,,,,,,
"Environnement, Risques et Sante",16350421,19523998,,,,,,,,,,
EPJ Web of Conferences,21016275,2100014X,,,,,,,,,,
Erciyes Medical Journal,21492247,21492549,,,,,,,,,,
Espace Geographique,00462497,17762936,,,,,,,,,,
Essaim,1287258X,17762839,,,,,,,,,,
Estudios de Economia Aplicada,11333197,16975731,,,,,,,,,,
Ethique et Sante,17654629,1769695X,,,,,,,,,,
Ethnobiology Letters,,21598126,,,,,,,,,,
Eurasian Journal of Analytical Chemistry,,13063057,,,,,,,,,,
"European Journal of Economics, Finance and Administrative Sciences",14502275,,,,,,,,,,,
European Journal of Electrical Engineering,21033641,21167109,,,,,,,,,,
European Journal of Gynaecological Oncology,03922936,,,,,,,,,,,
European Journal of Molecular and Clinical Medicine,,25158260,,,,,,,,,,
European Journal of Palliative Care,13522779,14790793,,,,,,,,,,
European Journal of Scientific Research,1450202X,,,,,,,,,,,
European Journal of Social Sciences,14502267,,,,,,,,,,,
European Journal of Sustainable Development,22395938,22396101,,,,,,,,,,
European Research Studies Journal,11082976,,,,,,,,,,,
Experimental and Therapeutic Medicine,17920981,17921015,,,,,,,,,,
Familiendynamik,03422747,,,,,,,,,,,
Far East Journal of Electronics and Communications,09737006,,,,,,,,,,,
Far East Journal of Mathematical Sciences,09720871,,,,,,,,,,,
Farmaceuticky Obzor,00148172,,,,,,,,,,,
Farmacevtski Vestnik,00148229,,,,,,,,,,,
Formalized Mathematics,14262630,18989934,,,,,,,,,,
Forum Logopadie,09320547,,,,,,,,,,,
Foundations of Chemistry,13864238,15728463,,,,,,,,,,
Fragmenta Floristica et Geobotanica Polonica,1640629X,24498890,,,,,,,,,,
Fresenius Environmental Bulletin,10184619,16102304,,,,,,,,,,
Frontiers,01609009,15360334,,,,,,,,,,
"Geopolitics, History, and International Relations",19489145,23744383,,,,,,,,,,
GIM International,15669076,,,,,,,,,,,
Giornale Italiano di Diabetologia e Metabolismo,15936104,,,,,,,,,,,
Global Journal of Pharmacology,19920075,,,,,,,,,,,
Global Journal of Pure and Applied Mathematics,09731768,09739750,,,,,,,,,,
Global Media Journal,15507521,,,,,,,,,,,
Global Veterinaria,19926197,19998163,,,,,,,,,,
Gogus-Kalp-Damar Anestezi ve Yogun Bakim Dernegi Dergisi,13055550,,,,,,,,,,,
Group Analysis,05333164,1461717X,,,,,,,,,,
Gruppenpsychotherapie und Gruppendynamik,00174947,21967989,,,,,,,,,,
"Gummi, Fasern, Kunststoffe",01761625,,,,,,,,,,,
Head and Neck Oncology,,17583284,,,,,,,,,,
Health Science Journal,11087366,,,,,,,,,,,
Hematologie,12647527,19506368,,,,,,,,,,
Hitachi Review,0018277X,,,,,,,,,,,
Human and Veterinary Medicine,20667655,20667663,,,,,,,,,,
Humanities and Social Sciences Reviews,,23956518,,,,,,,,,,
Hygiena,18026281,18031056,,,,,,,,,,
ICGA Journal,13896911,24682438,,,,,,,,,,
IEJME - Mathematics Education,13063030,24684945,,,,,,,,,,
IIAOB Journal,09763104,,,,,,,,,,,
Incas Bulletin,20668201,22474528,,,,,,,,,,
Indian Journal of Ecology,03045250,,,,,,,,,,,
Indian Journal of Economics and Business,09725784,,,,,,,,,,,
Indian Journal of Experimental Biology,00195189,09751009,,,,,,,,,,
Indian Journal of Forensic Medicine and Toxicology,09739122,09739130,,,,,,,,,,
Indian Journal of Medical Sciences,00195359,19983654,,,,,,,,,,
Indian Journal of Pharmaceutical Sciences,0250474X,19983743,,,,,,,,,,
Indian Journal of Public Health Research and Development,09760245,09765506,,,,,,,,,,
Indian Journal of Science and Technology,09746846,09745645,,,,,,,,,,
Information (Japan),13434500,13448994,,,,,,,,,,
Information Tecnoliga,07168756,07180764,,,,,,,,,,
Informatologia ,1330-0067,,,,,,,,,,,
Intensiv- und Notfallbehandlung,09475362,,,,,,,,,,,
International archives of medicine,,17557682,,,,,,,,,,
International Business Management,19935250,,,,,,,,,,,
International Conference on Applied and Computational Mathematics,,22232877,,,,,,,,,,
International Conference on Applied Computer Science - Proceedings,,17924863,,,,,,,,,,
International Conference on Applied Mathematics and Informatics - Proceedings,,,,,,,,,,,,
"International Conference on Applied Mathematics, Simulation, Modelling - Proceedings",,17924332,,,,,,,,,,
"International Conference on Circuits, Systems and Signals - Proceedings",,17924324,,,,,,,,,,
"International Conference on Circuits, Systems, Electronics, Control and Signal Processing - Proceedings",,,,,,,,,,,,
"International Conference on Circuits, Systems, Signal and Telecommunications - Proceedings",,,,,,,,,,,,
International Conference on Communication and Management in Technological Innovation and Academic Globalization - Proceedings,,,,,,,,,,,,
International Conference on Communications - Proceedings,,,,,,,,,,,,
International Conference on Communications and Information Technology - Proceedings,,17924316,,,,,,,,,,
"International Conference on Data Networks, Communications, Computers - Proceedings",,,,,,,,,,,,
"International Conference on Development, Energy, Environment, Economics - Proceedings",,,,,,,,,,,,
International Conference on Education and Educational Technologies - Proceedings,,17925061,,,,,,,,,,
"International Conference on Electric Power Systems, High voltages, Electric machines, International conference on Remote sensing - Proceedings",,,,,,,,,,,,
"International Conference on Energy and Development, Environment and Biomedicine - Proceedings",,17924340,,,,,,,,,,
International Conference on Engineering Education and International Conference on Education and Educational Technologies - Proceedings,,,,,,,,,,,,
"International Conference on Engineering Mechanics, Structures, Engineering Geology, International Conference on Geography and Geology - Proceedings",,,,,,,,,,,,
"International Conference on Manufacturing Engineering, Quality and Production Systems, MEQAPS - Proceedings",,17924693,,,,,,,,,,
International Conference on Mathematical and Computational Methods in Science and Engineering - Proceedings,,,,,,,,,,,,
International Conference on Mathematical Methods and Computational Techniques in Electrical Engineering - Proceedings,,,,,,,,,,,,
International Conference on Mathematical Models for Engineering Science - Proceedings,,,,,,,,,,,,
International conference on System Science and Simulation in Engineering - Proceedings,,1792507X,,,,,,,,,,
"International Conference on Theoretical and Applied Mechanics, International Conference on Fluid Mechanics and Heat and Mass Transfer - Proceedings",,17924359,,,,,,,,,,
International Conference on Urban Planning and Transportation - Proceedings,,,,,,,,,,,,
"International Conference on Urban Sustainability, Cultural Sustainability, Green Development, Green Structures and Clean Cars, USCUDAR - Proceedings",,,,,,,,,,,,
"International Conference on Visualization, Imaging and Simulation - Proceedings",,,,,,,,,,,,
International Education Studies,19139020,,,,,,,,,,,
International Journal of Advanced Computer Research,22497277,22777970,,,,,,,,,,
International Journal of Advanced Research in Engineering and Technology,09766480,09766499,,,,,,,,,,
International Journal of Advanced Science and Technology,20054238,22076360,,,,,,,,,,
International Journal of Advanced Trends in Computer Science and Engineering,,22783091,,,,,,,,,,
International Journal of Advances In Pharmaceutical Sciences,,09761055,,,,,,,,,,
International Journal of Agricultural Extension,23118547,23116110,,,,,,,,,,
International Journal of Agricultural Research,18164897,21522553,,,,,,,,,,
International Journal of Applied Business and Economic Research,09727302,,,,,,,,,,,
International Journal of Applied Chemistry,09731792,09739734,,,,,,,,,,
International Journal of Applied Engineering Research,09734562,09739769,,,,,,,,,,
International Journal of Applied Engineering Research (Netherlands),,26662795,,,,,,,,,,
International Journal of Applied Linguistics and English Literature,22003592,22003452,,,,,,,,,,
International Journal of Applied Research in Natural Products,,19406223,,,,,,,,,,
International Journal of Bio Science and Bio Technology,22337849,,,,,,,,,,,
International Journal of Biochemistry and Molecular Biology,,21524114,,,,,,,,,,
International Journal of Biological Chemistry,1819155X,21522561,,,,,,,,,,
International Journal of Biology and Biomedical Engineering,,19984510,,,,,,,,,,
International Journal of Biomedical Science,15509702,15552810,,,,,,,,,,
International Journal of Botany,18119700,18119719,,,,,,,,,,
International Journal of Business Research,15551296,23788577,,,,,,,,,,
International Journal of Cancer Research,18119727,18119735,,,,,,,,,,
International Journal of Celiac Disease,23343427,23343486,,,,,,,,,,
International Journal of Chemical Sciences,0972768X,,,,,,,,,,,
International Journal of Chemtech Research,09744290,24559555,,,,,,,,,,
International Journal of Circuits Systems and Signal Processing,,1998-4464,,,,,,,,,,
International Journal of Civil Engineering and Technology,09766308,09766316,,,,,,,,,,
International Journal of Clinical and Experimental Medicine,,19405901,,,,,,,,,,
International Journal of Clinical and Experimental Pathology,,19362625,,,,,,,,,,
International Journal of Combinatorial Graph Theory and Applications,09737421,,,,,,,,,,,
International Journal of Computational Intelligence in Control,09748571,,,,,,,,,,,
International Journal of Control and Automation,,20054297,,,,,,,,,,
International Journal of Control Theory and Applications,09745572,,,,,,,,,,,
International Journal of Criminology and Sociology,,19294409,,,,,,,,,,
International Journal of Current Pharmaceutical Review and Research,,0976822X,,,,,,,,,,
International Journal of Current Research and Review,22312196,09755241,,,,,,,,,,
International Journal of Dentistry and Oral Science,,23778075,,,,,,,,,,
"International Journal of Diversity in Organisations, Communities and Nations",14479532,14479583,,,,,,,,,,
International Journal of Drug Delivery,,09750215,,,,,,,,,,
International Journal of Drug Development and Research,09759344,,,,,,,,,,,
International Journal of Early Childhood Special Education,13085581,,,,,,,,,,,
International Journal of Earth Sciences and Engineering,09745904,,,,,,,,,,,
International Journal of Ecological Economics and Statistics,09731385,09737537,,,,,,,,,,
International Journal of Ecology and Development,09729984,09737308,,,,,,,,,,
International Journal of Ecology and Environmental Sciences,0377015X,23205199,,,,,,,,,,
International Journal of Economic Perspectives,,13071637,,,,,,,,,,
International Journal of Economic Research,09729380,,,,,,,,,,,
International Journal of Economics and Business Administration,22414754,,,,,,,,,,,
International Journal of Economics and Financial Issues,,21464138,,,,,,,,,,
International Journal of Electrical Engineering and Technology,09766545,09766553,,,,,,,,,,
International Journal of Electrospun Nanofibers and Applications,0973628X,,,,,,,,,,,
International Journal of Emerging Trends in Engineering Research,,23473983,,,,,,,,,,
International Journal of Engineering and Advanced Technology,,22498958,,,,,,,,,,
International Journal of Engineering and Technology,23198613,09754024,,,,,,,,,,
International Journal of Engineering and Technology(UAE),,2227524X,,,,,,,,,,
International Journal of Engineering Intelligent Systems for Electrical Engineering and Communications,14728915,,,,,,,,,,,
International Journal of Engineering Research and Technology,09743154,,,,,,,,,,,
International Journal of Entrepreneurship,10999264,,,,,,,,,,,
International Journal of Environmental and Science Education,,13063065,,,,,,,,,,
International Journal of Finance Research,19234023,19234031,,,,,,,,,,
International Journal of Green Pharmacy,09738258,19984103,,,,,,,,,,
International Journal of Grid and Distributed Computing,20054262,22076379,,,,,,,,,,
International Journal of Health Sciences ,25506978 ,2550696X ,,,,,,,,,,
International Journal of High Performance Computing and Networking,17400562,17400570,,,,,,,,,,
International Journal of Higher Education,19276044,19276052,,,,,,,,,,
International Journal of Human Genetics,09723757,,,,,,,,,,,
International Journal of Imaging and Robotics,,2231525X,,,,,,,,,,
"International Journal of Innovation, Creativity and Change",22011315,22011323,,,,,,,,,,
International Journal of Innovative Technology and Exploring Engineering,,22783075,,,,,,,,,,
International Journal of Integrative Biology,09742816,09738363,,,,,,,,,,
International Journal of Intelligent Systems and Applications,2074904X,20749058,,,,,,,,,,
International Journal of Machine Learning and Computing,,20103700,,,,,,,,,,
International Journal of Management,09766502,09766510,,,,,,,,,,
International Journal of Mathematical Analysis,13128876,13147579,,,,,,,,,,
International Journal of Mathematical Models and Methods in Applied Sciences,,19980140,,,,,,,,,,
International Journal of Mathematics and Computers In Simulation,,19980159,,,,,,,,,,
International Journal of Mechanical and Mechanics Engineering,22272771,2077124X,,,,,,,,,,
International Journal of Mechanical and Production Engineering Research and Development,22496890,22498001,,,,,,,,,,
International Journal of Mechanical Engineering,09745823,,,,,,,,,,,
International Journal of Mechanical Engineering and Technology,09766340,09766359,,,,,,,,,,
International Journal of Mobile Communications,1470949X,17415217,,,,,,,,,,
International Journal of Molecular Epidemiology and Genetics,,19481756,,,,,,,,,,
International Journal of Multimedia and Ubiquitous Engineering,19750080,,,,,,,,,,,
International Journal of Network Security,1816353X,18163548,,,,,,,,,,
International Journal of Nonlinear Analysis and Applications,,20086822,,,,,,,,,,
International Journal of Oceans and Oceanography,09732667,09744827,,,,,,,,,,
International Journal of Osteoporosis and Metabolic Disorders,19945442,20772157,,,,,,,,,,
International Journal of Pediatrics- Mashhad,,23455055,,,,,,,,,,
International Journal of Pharma and Bio Sciences,,09756299,,,,,,,,,,
International Journal of Pharmaceutical and Clinical Research,,09751556,,,,,,,,,,
International Journal of Pharmaceutical Research,,09752366,,,,,,,,,,
International Journal of Pharmaceutical Sciences Review and Research,,0976044X,,,,,,,,,,
International Journal of Pharmacognosy and Phytochemical Research,,09754873,,,,,,,,,,
International Journal of Pharmacology,18117775,18125700,,,,,,,,,,
International Journal of Pharmacy and Pharmaceutical Sciences,,09751491,,,,,,,,,,
International Journal of Pharmacy and Technology,,0975766X,,,,,,,,,,
International Journal of Pharmtech Research,09744304,24559563,,,,,,,,,,
"International Journal of Physiology, Pathophysiology and Pharmacology",,19448171,,,,,,,,,,
International Journal of Phytomedicine,,09750185,,,,,,,,,,
International Journal of Poultry Science,16828356,19947992,,,,,,,,,,
International Journal of Psychosocial Rehabilitation,,14757192,,,,,,,,,,
International Journal of Pure and Applied Mathematics,,13143395,,,,,,,,,,
International Journal of Recent Technology and Engineering,,22773878,,,,,,,,,,
International Journal of Research In Ayurveda and Pharmacy,22774343,22293566,,,,,,,,,,
International Journal of Research in Education and Science,,21489955,,,,,,,,,,
International Journal of Research in Pharmaceutical Sciences,,09757538,,,,,,,,,,
International Journal of Scientific and Technology Research,,22778616,,,,,,,,,,
International Journal of Security and Its Applications,17389976,,,,,,,,,,,
"International Journal of Simulation: Systems, Science and Technology",1473804X,14738031,,,,,,,,,,
International Journal of Smart Grid and Clean Energy,23154462,23733594,,,,,,,,,,
International Journal of Smart Home,19754094,2383725X,,,,,,,,,,
International Journal of Sociology of the Family,09732039,,,,,,,,,,,
International Journal of Soft Computing,18169503,,,,,,,,,,,
International Journal of Software Engineering and its Applications,17389984,,,,,,,,,,,
International Journal of Soil Science,18164978,,,,,,,,,,,
International Journal of Supply Chain Management,20513771,20507399,,,,,,,,,,
International Journal of Systems Signal Control and Engineering Application,19975422,23099607,,,,,,,,,,
International Journal of Tomography and Simulation,23193336,,,,,,,,,,,
International Journal of Toxicological and Pharmacological Research,,09755160,,,,,,,,,,
International Journal of Tropical Medicine,18163319,1818779X,,,,,,,,,,
International Journal of Virology,18164900,,,,,,,,,,,
International Journal of Wine Research,,11791403,,,,,,,,,,
International Journal of Zoological Research,18119778,18119786,,,,,,,,,,
International Journal on Advances in Life Sciences,19422660,,,,,,,,,,,
International Journal on Emerging Technology,09758364,22493255,,,,,,,,,,
International Medical Journal,13412051,24363294,,,,,,,,,,
International Research Journal of Finance and Economics,14502887,,,,,,,,,,,
International Review of Management and Marketing,,21464405,,,,,,,,,,
International Review of Modern Sociology,09732047,,,,,,,,,,,
International Review on Computers and Software,18286003,18286011,,,,,,,,,,
Internet Journal of Microbiology,,19378289,,,,,,,,,,
IOP Conference Series: Materials Science and Engineering,17578981,1757899X,,,,,,,,,,
Iranian Red Crescent Medical Journal,20741804,20741812,,,,,,,,,,
ISACA Journal,19441967,19441975,,,,,,,,,,
Japanese Journal of Antibiotics,03682781,21865477,,,,,,,,,,
JOP. Journal of the Pancreas,15908577,,,,,,,,,,,
Journal des Maladies Vasculaires,03980499,,,,,,,,,,,
Journal for the Education of Gifted Young Scientists,,2149360X,,,,,,,,,,
Journal fur Hypertonie,10282327,16809378,,,,,,,,,,
Journal fur Kardiologie,10240098,1680936x,,,,,,,,,,
Journal of Advanced Oxidation Technologies,12038407,23711175,,,,,,,,,,
Journal of Advanced Research in Dynamical and Control Systems,,1943023X,,,,,,,,,,
Journal of Advanced Research in Law and Economics,,2068696X,,,,,,,,,,
Journal of Agricultural Food and Environmental Sciences,,19347235,,,,,,,,,,
Journal of Agronomy,18125379,18125417,,,,,,,,,,
Journal of AIDS and Clinical Research,21556113,,,,,,,,,,,
Journal of Alcohol and Drug Education,00901482,21624119,,,,,,,,,,
Journal of Analytical Oncology,19277210,19277229,,,,,,,,,,
Journal of Anesthesia and Clinical Research,,21556148,,,,,,,,,,
Journal of Animal and Veterinary Advances,16805593,1993601X,,,,,,,,,,
Journal of Antivirals and Antiretrovirals,19485964,,,,,,,,,,,
Journal of Applied Biological Sciences,13071130,21460108,,,,,,,,,,
Journal of Applied Economic Sciences,,23935162,,,,,,,,,,
Journal of Applied Science,18125654,18125662,,,,,,,,,,
Journal of Aquaculture Research and Development,21559546,,,,,,,,,,,
Journal of Aquatic Plant Management,01466623,,,,,,,,,,,
Journal of Artificial Intelligence,19945450,20772173,,,,,,,,,,
