,Journal,Exists
52,Anales de Documentacion,No
53,Anales de la Real Academia Nacional de Farmacia,Yes
54,Anales Venezolanos de Nutricion,Yes
55,Annals of the Romanian Society for Cell Biology,No
56,Annals of Translational Medicine,No
57,Annals of Tropical Medicine and Public Health,No
58,Annual Research and Review in Biology,No
59,Anthropologist,Yes
60,Applied Mathematical Sciences,No
61,Applied Mechanics and Materials,No
62,Arabian Journal of Geosciences,No
63,Archiv fur Kriminologie,No
64,Archives of Clinical Microbiology,No
65,Archivos de Medicina,No
66,Archivos Venezolanos de Farmacología y Terapeutica,No
67,Ars Pharmaceutica,No
68,Asia Life Sciences,No
69,Asian Agri-History,No
70,Asian EFL Journal,No
71,Asian ESP Journal,No
72,Asian Journal of Agricultural Research,No
73,Asian Journal of Animal and Veterinary Advances,Yes
74,Asian Journal of Animal Sciences,Yes
75,Asian Journal of Applied Sciences,Yes
76,Asian Journal of Biochemistry,No
77,Asian Journal of Cell Biology,No
78,Asian Journal of Clinical Nutrition,Yes
79,Asian Journal of Crop Science,No
80,Asian Journal of Earth Sciences,No
81,Asian Journal of Epidemiology,No
82,Asian Journal of Information Technology,Yes
83,"Asian Journal of Microbiology, Biotechnology and Environmental Sciences",Yes
84,Asian Journal of Pharmaceutical and Clinical Research,Yes
85,Asian Journal of Pharmaceutical Research and Health Care,No
86,Asian Journal of Pharmaceutics,No
87,Asian Journal of Plant Pathology,No
88,Asian Journal of Poultry Science,Yes
89,Asian Journal of Scientific Research,Yes
90,Asian Social Science,No
91,AStA Wirtschafts- und Sozialstatistisches Archiv,No
92,Atti della Societa Toscana di Scienze Naturali,No
93,Aufbereitungs-Technik,No
94,Australasian Medical Journal,No
95,Australian Entomologist,No
96,Australian Field Ornithology,Yes
97,BAG - Journal of Basic and Applied Genetics,No
98,Bangladesh Journal of Plant Taxonomy,No
99,Biochemical and Cellular Archives,Yes
100,Biology and Medicine,No
101,Biomedical Research,No
102,Biomedical Reviews,No
103,Biophysical Reviews and Letters,No
104,Bioscience Research,No
105,"Biosciences, Biotechnology Research Asia",No
106,Biotechnology,No
107,BioTechnology: An Indian Journal,No
108,Blutalkohol,No
109,Blyttia,Yes
110,Bolest,No
111,Boletin Tecnico/Technical Bulletin,No
112,Bridge,No
113,Bulletin d'Association de Geographes Francais,No
114,Bulletin Minerologie Petrologie,No
115,Business and Economic Horizons,No
116,C e ca,No
117,Campus Virtuales,Yes
118,Canadian Journal of Geriatrics,No
119,Carbon Science and Technology,No
120,Cardiology (Pakistan),No
121,Central Asia and the Caucasus,Yes
122,Ceska Revmatologie,No
123,Chemical Engineering,No
124,Chemical Engineering Education,No
125,Chemical Engineering Progress,No
126,Chemistry,Yes
127,Chinese Journal of Cancer Research,No
128,Chinesische Medizin,No
129,Chung Cheng Ling Hsueh Pao,No
130,Clay Research,No
131,Clinical Case Reports,No
132,Clinical Rhinology,No
133,Colourage,No
134,Communications In Applied Analysis,Yes
135,Compusoft,No
136,Computer Methods in Materials Science,No
137,Congenital Anomalies,No
138,Contemporary Engineering Sciences,No
139,Core Evidence,No
140,Corella,No
141,Corporate Board Role Duties and Composition,No
142,Corporate Ownership and Control,No
143,Corps and Psychisme,No
144,Cryptologia,No
145,Cuadernos de Vivienda y Urbanismo,No
146,Current Biomarker Findings,No
147,Current Neurobiology,No
148,Current Pediatric Research         ,No
149,Current Research In Tuberculosis,No
150,Der Pharma Chemica,No
151,Der Pharmacia Lettre,No
152,Dermatolgie in Beruf und Umwelt,No
153,"Dermatologia Cosmetica, Medica y Quirurgica",No
154,Deutsche Zeitschrift fur Akupunktur,No
155,Deutsche Zeitschrift fur Onkologie,No
156,Deviance et Societe,No
157,Dhaka University Journal of Pharmaceutical Sciences,No
158,Diabetes and Primary Care,No
159,"Diabetes, Stoffwechsel und Herz",No
160,Dialisis y Trasplante,No
161,Diversity & Equality in Health and Care,No
162,Drug Invention Today,No
163,Dynamic Systems and Applications,No
164,Dynamische Psychiatrie,Yes
165,Eastern Anthropologist,No
166,"Ecology, Environment and Conservation",No
167,"Economics, Management and Financial Markets",No
168,Ecos - Review of Conservation,No
169,Education in the Knowledge Society,No
170,Education Sciences: Theory and Practice,No
171,Ekonomista,No
172,Electronic Journal of Geotechnical Engineering,Yes
173,Elementary Education Online,No
174,Endokrinologya,No
175,Energy Education Science and Technology Part A: Energy Science and Research,No
176,Energy Education Science and Technology Part B: Social and Educational Studies,No
177,Engineering Design Graphics Journal,No
178,English Language Teaching,No
179,Entomologist''s Gazette,No
180,Entrepreneurial Executive,No
181,Entrepreneurship and Sustainability Issues,No
182,"Environnement, Risques et Sante",No
183,EPJ Web of Conferences,No
184,Erciyes Medical Journal,No
185,Espace Geographique,No
186,Essaim,No
187,Estudios de Economia Aplicada,No
188,Ethique et Sante,No
189,Ethnobiology Letters,No
190,Eurasian Journal of Analytical Chemistry,Yes
191,"European Journal of Economics, Finance and Administrative Sciences",No
192,European Journal of Electrical Engineering,No
193,European Journal of Gynaecological Oncology,No
194,European Journal of Molecular and Clinical Medicine,No
195,European Journal of Palliative Care,Yes
196,European Journal of Scientific Research,No
197,European Journal of Social Sciences,No
198,European Journal of Sustainable Development,No
199,European Research Studies Journal,No
200,Experimental and Therapeutic Medicine,No
201,Familiendynamik,No
202,Far East Journal of Electronics and Communications,No
203,Far East Journal of Mathematical Sciences,No
204,Farmaceuticky Obzor,No
205,Farmacevtski Vestnik,No
206,Formalized Mathematics,No
207,Forum Logopadie,No
208,Foundations of Chemistry,No
209,Fragmenta Floristica et Geobotanica Polonica,No
210,Fresenius Environmental Bulletin,No
211,Frontiers,No
212,"Geopolitics, History, and International Relations",No
213,GIM International,Yes
214,Giornale Italiano di Diabetologia e Metabolismo,No
215,Global Journal of Pharmacology,No
216,Global Journal of Pure and Applied Mathematics,No
217,Global Media Journal,No
218,Global Veterinaria,No
219,Gogus-Kalp-Damar Anestezi ve Yogun Bakim Dernegi Dergisi,No
220,Group Analysis,No
221,Gruppenpsychotherapie und Gruppendynamik,No
222,"Gummi, Fasern, Kunststoffe",No
223,Head and Neck Oncology,No
224,Health Science Journal,No
225,Hematologie,No
226,Hitachi Review,No
227,Human and Veterinary Medicine,No
228,Humanities and Social Sciences Reviews,No
229,Hygiena,No
230,ICGA Journal,No
231,IEJME - Mathematics Education,No
232,IIAOB Journal,No
233,Incas Bulletin,No
234,Indian Journal of Ecology,No
235,Indian Journal of Economics and Business,No
236,Indian Journal of Experimental Biology,No
237,Indian Journal of Forensic Medicine and Toxicology,No
238,Indian Journal of Medical Sciences,No
239,Indian Journal of Pharmaceutical Sciences,No
240,Indian Journal of Public Health Research and Development,No
241,Indian Journal of Science and Technology,No
242,Information (Japan),No
243,Information Tecnoliga,No
244,Informatologia ,No
245,Intensiv- und Notfallbehandlung,No
246,International archives of medicine,No
247,International Business Management,No
248,International Conference on Applied and Computational Mathematics,No
249,International Conference on Applied Computer Science - Proceedings,No
250,International Conference on Applied Mathematics and Informatics - Proceedings,No
251,"International Conference on Applied Mathematics, Simulation, Modelling - Proceedings",No
252,"International Conference on Circuits, Systems and Signals - Proceedings",No
253,"International Conference on Circuits, Systems, Electronics, Control and Signal Processing - Proceedings",No
254,"International Conference on Circuits, Systems, Signal and Telecommunications - Proceedings",No
255,International Conference on Communication and Management in Technological Innovation and Academic Globalization - Proceedings,No
256,International Conference on Communications - Proceedings,No
257,International Conference on Communications and Information Technology - Proceedings,No
258,"International Conference on Data Networks, Communications, Computers - Proceedings",No
259,"International Conference on Development, Energy, Environment, Economics - Proceedings",No
260,International Conference on Education and Educational Technologies - Proceedings,No
261,"International Conference on Electric Power Systems, High voltages, Electric machines, International conference on Remote sensing - Proceedings",No
262,"International Conference on Energy and Development, Environment and Biomedicine - Proceedings",No
263,International Conference on Engineering Education and International Conference on Education and Educational Technologies - Proceedings,No
264,"International Conference on Engineering Mechanics, Structures, Engineering Geology, International Conference on Geography and Geology - Proceedings",No
265,"International Conference on Manufacturing Engineering, Quality and Production Systems, MEQAPS - Proceedings",No
266,International Conference on Mathematical and Computational Methods in Science and Engineering - Proceedings,No
267,International Conference on Mathematical Methods and Computational Techniques in Electrical Engineering - Proceedings,No
268,International Conference on Mathematical Models for Engineering Science - Proceedings,No
269,International conference on System Science and Simulation in Engineering - Proceedings,No
270,"International Conference on Theoretical and Applied Mechanics, International Conference on Fluid Mechanics and Heat and Mass Transfer - Proceedings",No
271,International Conference on Urban Planning and Transportation - Proceedings,No
272,"International Conference on Urban Sustainability, Cultural Sustainability, Green Development, Green Structures and Clean Cars, USCUDAR - Proceedings",No
273,"International Conference on Visualization, Imaging and Simulation - Proceedings",No
274,International Education Studies,No
275,International Journal of Advanced Computer Research,No
276,International Journal of Advanced Research in Engineering and Technology,No
277,International Journal of Advanced Science and Technology,No
278,International Journal of Advanced Trends in Computer Science and Engineering,No
279,International Journal of Advances In Pharmaceutical Sciences,No
280,International Journal of Agricultural Extension,Yes
281,International Journal of Agricultural Research,No
282,International Journal of Applied Business and Economic Research,No
283,International Journal of Applied Chemistry,No
284,International Journal of Applied Engineering Research,No
285,International Journal of Applied Engineering Research (Netherlands),No
286,International Journal of Applied Linguistics and English Literature,No
287,International Journal of Applied Research in Natural Products,No
288,International Journal of Bio Science and Bio Technology,No
289,International Journal of Biochemistry and Molecular Biology,No
290,International Journal of Biological Chemistry,No
291,International Journal of Biology and Biomedical Engineering,Yes
292,International Journal of Biomedical Science,No
293,International Journal of Botany,Yes
294,International Journal of Business Research,No
295,International Journal of Cancer Research,No
296,International Journal of Celiac Disease,No
297,International Journal of Chemical Sciences,No
298,International Journal of Chemtech Research,No
299,International Journal of Circuits Systems and Signal Processing,No
300,International Journal of Civil Engineering and Technology,No
301,International Journal of Clinical and Experimental Medicine,No
302,International Journal of Clinical and Experimental Pathology,No
303,International Journal of Combinatorial Graph Theory and Applications,No
304,International Journal of Computational Intelligence in Control,No
305,International Journal of Control and Automation,No
306,International Journal of Control Theory and Applications,No
307,International Journal of Criminology and Sociology,No
308,International Journal of Current Pharmaceutical Review and Research,No
309,International Journal of Current Research and Review,No
310,International Journal of Dentistry and Oral Science,No
311,"International Journal of Diversity in Organisations, Communities and Nations",No
312,International Journal of Drug Delivery,No
313,International Journal of Drug Development and Research,No
314,International Journal of Early Childhood Special Education,No
315,International Journal of Earth Sciences and Engineering,No
316,International Journal of Ecological Economics and Statistics,No
317,International Journal of Ecology and Development,Yes
318,International Journal of Ecology and Environmental Sciences,No
319,International Journal of Economic Perspectives,No
320,International Journal of Economic Research,No
321,International Journal of Economics and Business Administration,No
322,International Journal of Economics and Financial Issues,No
323,International Journal of Electrical Engineering and Technology,No
324,International Journal of Electrospun Nanofibers and Applications,No
325,International Journal of Emerging Trends in Engineering Research,No
326,International Journal of Engineering and Advanced Technology,No
327,International Journal of Engineering and Technology,No
328,International Journal of Engineering and Technology(UAE),No
329,International Journal of Engineering Intelligent Systems for Electrical Engineering and Communications,No
330,International Journal of Engineering Research and Technology,No
331,International Journal of Entrepreneurship,No
332,International Journal of Environmental and Science Education,No
333,International Journal of Finance Research,No
334,International Journal of Green Pharmacy,No
335,International Journal of Grid and Distributed Computing,No
336,International Journal of Health Sciences ,No
337,International Journal of High Performance Computing and Networking,No
338,International Journal of Higher Education,No
339,International Journal of Human Genetics,No
340,International Journal of Imaging and Robotics,No
341,"International Journal of Innovation, Creativity and Change",No
342,International Journal of Innovative Technology and Exploring Engineering,No
343,International Journal of Integrative Biology,No
344,International Journal of Intelligent Systems and Applications,No
345,International Journal of Machine Learning and Computing,No
346,International Journal of Management,No
347,International Journal of Mathematical Analysis,No
348,International Journal of Mathematical Models and Methods in Applied Sciences,No
349,International Journal of Mathematics and Computers In Simulation,No
350,International Journal of Mechanical and Mechanics Engineering,Yes
351,International Journal of Mechanical and Production Engineering Research and Development,No
352,International Journal of Mechanical Engineering,Yes
353,International Journal of Mechanical Engineering and Technology,NaN
354,International Journal of Mobile Communications,No
355,International Journal of Molecular Epidemiology and Genetics,No
356,International Journal of Multimedia and Ubiquitous Engineering,No
357,International Journal of Network Security,Yes
358,International Journal of Nonlinear Analysis and Applications,No
359,International Journal of Oceans and Oceanography,No
360,International Journal of Osteoporosis and Metabolic Disorders,No
361,International Journal of Pediatrics- Mashhad,No
362,International Journal of Pharma and Bio Sciences,No
363,International Journal of Pharmaceutical and Clinical Research,No
364,International Journal of Pharmaceutical Research,No
365,International Journal of Pharmaceutical Sciences Review and Research,No
366,International Journal of Pharmacognosy and Phytochemical Research,No
367,International Journal of Pharmacology,No
368,International Journal of Pharmacy and Pharmaceutical Sciences,No
369,International Journal of Pharmacy and Technology,No
370,International Journal of Pharmtech Research,No
371,"International Journal of Physiology, Pathophysiology and Pharmacology",No
372,International Journal of Phytomedicine,No
373,International Journal of Poultry Science,No
374,International Journal of Psychosocial Rehabilitation,No
375,International Journal of Pure and Applied Mathematics,No
376,International Journal of Recent Technology and Engineering,No
377,International Journal of Research In Ayurveda and Pharmacy,Yes
378,International Journal of Research in Education and Science,No
379,International Journal of Research in Pharmaceutical Sciences,No
380,International Journal of Scientific and Technology Research,No
381,International Journal of Security and Its Applications,No
382,"International Journal of Simulation: Systems, Science and Technology",No
383,International Journal of Smart Grid and Clean Energy,No
384,International Journal of Smart Home,No
385,International Journal of Sociology of the Family,No
386,International Journal of Soft Computing,No
387,International Journal of Software Engineering and its Applications,No
388,International Journal of Soil Science,Yes
389,International Journal of Supply Chain Management,No
390,International Journal of Systems Signal Control and Engineering Application,No
391,International Journal of Tomography and Simulation,No
392,International Journal of Toxicological and Pharmacological Research,No
393,International Journal of Tropical Medicine,No
394,International Journal of Virology,No
395,International Journal of Wine Research,No
396,International Journal of Zoological Research,No
397,International Journal on Advances in Life Sciences,No
398,International Journal on Emerging Technology,No
399,International Medical Journal,Yes
400,International Research Journal of Finance and Economics,No
401,International Review of Management and Marketing,No
402,International Review of Modern Sociology,No
403,International Review on Computers and Software,No
404,Internet Journal of Microbiology,Yes
405,IOP Conference Series: Materials Science and Engineering,No
406,Iranian Red Crescent Medical Journal,No
407,ISACA Journal,No
408,Japanese Journal of Antibiotics,No
409,JOP. Journal of the Pancreas,No
410,Journal des Maladies Vasculaires,No
411,Journal for the Education of Gifted Young Scientists,No
412,Journal fur Hypertonie,No
413,Journal fur Kardiologie,No
414,Journal of Advanced Oxidation Technologies,No
415,Journal of Advanced Research in Dynamical and Control Systems,No
416,Journal of Advanced Research in Law and Economics,No
417,Journal of Agricultural Food and Environmental Sciences,No
418,Journal of Agronomy,No
419,Journal of AIDS and Clinical Research,No
420,Journal of Alcohol and Drug Education,No
421,Journal of Analytical Oncology,No
422,Journal of Anesthesia and Clinical Research,No
423,Journal of Animal and Veterinary Advances,No
424,Journal of Antivirals and Antiretrovirals,No
425,Journal of Applied Biological Sciences,No
426,Journal of Applied Economic Sciences,No
427,Journal of Applied Science,No
428,Journal of Aquaculture Research and Development,No
429,Journal of Aquatic Plant Management,No
430,Journal of Artificial Intelligence,Yes
431,"Journal of Asian Finance, Economics and Business ",No
432,Journal of Bioanalysis and Biomedicine,No
433,Journal of Biobased Materials and Bioenergy,No
434,Journal of Bioequivalence and Bioavailability,No
435,Journal of Biological Sciences,Yes
436,Journal of Biology and Today's World,No
437,Journal of Biomaterials and Tissue Engineering,No
438,Journal of Business and Retail Management Research,No
439,Journal of Cancer Science and Therapy,No
440,Journal of Cardiovascular Disease Research,No
441,Journal of Chemical and Pharmaceutical Research,No
442,Journal of Chemical and Pharmaceutical Sciences,No
443,Journal of Clinical and Analytical Medicine,No
444,Journal of Clinical and Diagnostic Research,No
445,Journal of Clinical and Experimental Cardiology,No
446,Journal of Clinical Engineering,No
447,Journal of Computers,No
448,Journal of Computers (Taiwan),No
449,Journal of Critical Reviews,No
450,Journal of Dementia Care,No
451,Journal of Digital Information Management,No
452,Journal of Economics and Economic Education Research,No
453,Journal of Ecophysiology and Occupational Health,No
454,Journal of Electrical Engineering,No
455,Journal of Emerging Technologies in Web Intelligence,No
456,"Journal of Endocrinology, Metabolism and Diabetes of South Africa",No
457,Journal of Engineering and Applied Sciences,No
458,Journal of English as an International Language,No
459,Journal of Entomology,No
460,Journal of Entrepreneurship Education,No
461,Journal of Environment Treatment Techniques,No
462,Journal of Environmental Hydrology,No
463,Journal of Environmental Science and Technology,No
464,Journal of Evolutionary Biochemistry and Physiology,No
465,Journal of Fisheries and Aquatic Science,Yes
466,"Journal of Food, Agriculture and Environment",No
467,Journal of Generalized Lie Theory and Applications,No
468,Journal of Generic Medicines,No
469,Journal of Global Pharma Technology,No
470,Journal of Green Engineering,Yes
471,Journal of Human Ecology,No
472,Journal of Industrial Pollution Control,No
473,Journal of Information Technology Research,No
474,Journal of Intercultural Ethnopharmacology,No
475,Journal of Interdisciplinary and Multidisciplinary Research,No
476,Journal of International Agricultural and Extension Education,No
477,Journal of International Business and Economics,Yes
478,Journal of Internet Banking and Commerce,No
479,Journal of Japanese Botany,No
480,Journal of Konbin,No
481,Journal of Language and Linguistic Studies,No
482,Journal of Language and Literature,No
483,Journal of Legal Ethical and Regulatory Issues,No
484,Journal of Management Information and Decision Science ,No
485,Journal of Manufacturing Research,No
486,Journal of Materials and Environmental Science,No
487,Journal of Mathematical and Computational Science,No
488,Journal of Mathematical Control Science and Applications,No
489,Journal of Mathematics and Statistics,No
490,Journal of Mechanical Engineering and Sciences,No
491,Journal of Mechanical Engineering Research and Development,No
492,Journal of Medical Imaging and Health Informatics,No
493,Journal of Medical Sciences,No
494,Journal of Microbial and Biochemical Technology,No
495,Journal of Multimedia,No
496,Journal of Nanoelectronics and Optoelectronics,No
497,Journal of Nanomedicine and Nanotechnology,No
498,Journal of Nanoscience and Nanotechnology,No
499,Journal of Networks,No
500,Journal of Nonlinear Science and Applications,No
501,Journal of Nuclear Energy Science and Power Generation Technology,No
502,Journal of Organizational Culture Communications and Conflict,No
503,Journal of Pain Management,No
504,Journal of Pharmaceutical Sciences and Research,No
505,Journal of Pharmacognosy and Phytotherapy,NaN
506,Journal of Pharmacology and Toxicology,No
507,Journal of Pharmacy and Nutrition Sciences,No
508,Journal of Physical Therapy Science,No
509,Journal of Plant Sciences,No
510,Journal of Polymer Materials,No
511,Journal of Probability and Statistics,No
512,Journal of Proteomics and Bioinformatics,No
513,Journal of Psychohistory,No
514,Journal of Real Estate Practice and Education,No
515,Journal of Research in Gender Studies,No
516,Journal of Residuals Science and Technology,No
517,Journal of Reviews on Global Economics,No
518,Journal of RNA and Genomics,No
519,Journal of Rubber Research,No
520,Journal of Science Education,No
521,Journal of Scientific Exploration,No
522,Journal of Security and Sustainability Issues,No
523,Journal of Self-Governance and Management Economics,No
524,Journal of Social Sciences Research,Yes
525,Journal of Sociology and Social Anthropology,Yes
526,Journal of Software,No
527,Journal of Software Engineering,No
528,Journal of Solid Mechanics,No
529,Journal of Sustainable Development,No
530,"Journal of Telecommunication, Electronic and Computer Engineering",No
531,"Journal of the Faculty of Agriculture, Kyushu University",No
532,Journal of the Indian Academy of Applied Psychology,No
533,Journal of The International Academy For Case Studies,No
534,Journal of the National Academy of Legal Sciences of Ukraine,No
535,Journal of Undergraduate Neuroscience Education,No
536,Journal of Vaccines and Vaccination,No
537,Journal of Veterinary Science and Technology,No
538,Journal of Water Chemistry and Technology,No
539,Journal of Young Pharmacists,No
540,"JP Journal of Algebra, Number Theory and Applications",No
541,JP Journal of Geometry and Topology,No
542,Kemija u Industriji,No
543,Kinderanalyse,No
544,Kindheit und Entwicklung,No
545,Kitakanto Medical Journal,No
546,Klinicka Biochemie a Metabolismus,No
547,Kosmetische Medizin,No
548,Larmbekampfung,No
549,LC-GC Europe,No
550,Leonardo Electronic Journal of Practices and Technologies,No
551,Library Philosophy and Practice ,No
552,Life Science Journal,No
553,Limosa,Yes
554,Linguistics Journal,No
555,Literary Review,No
556,Lowland Technology International,No
557,Man in India,No
558,Management Science Letters,No
559,MATEC Web of Conferences,No
560,Mathematical and Computational Applications,No
561,Medecine du Sommeil,No
562,Medecine et Chirurgie du Pied,No
563,Media Watch,No
564,Medical Journal of Cell Biology,No
565,Medicina e Chirurgia della Caviglia e del Piede,No
566,Medico-Legal Update,No
567,Mediterranean Journal of Chemistry,No
568,Mediterranean Journal of Social Sciences,No
569,Melliand Textilberichte/International Textile Reports,No
570,Memoranda - Societatis pro Fauna et Flora Fennica,No
571,Mental Health in Family Medicine,No
572,Metallurgical and Mining Industry,No
573,Middle East Journal of Scientific Research,Yes
574,Mitsubishi Electric Advance,No
575,"Modelling, Measurement and Control A",No
576,"Modelling, Measurement and Control B",No
577,"Modelling, Measurement and Control C",No
578,Modern Applied Science,Yes
579,Moscow University Computational Mathematics and Cybernetics,No
580,Music Scholarship,No
581,Nanoscience and Nanotechnology Letters,No
582,"National Journal of Physiology, Pharmacy and Pharmacology",No
583,Natural Volatiles and Essential Oils,No
584,Nederlands Tijdschrift voor Klinische Chemie en Laboratoriumgeneeskunde,No
585,Network Biology,No
586,Neural Parallel and Scientific Computations,No
587,Neurochemical Journal,No
588,Neuropsychological Trends,No
589,NeuroQuantology ,No
590,Nieren- und Hochdruckkrankheiten,No
591,Obesite,No
592,Occupational Health and Safety,No
593,Okajimas Folia Anatomica Japonica,No
594,Oncoscience,No
595,Opcion,No
596,Open Access Macedonian Journal of Medical Sciences,No
597,Open Electrical and Electronic Engineering Journal,No
598,Open Infectious Diseases Journal,No
599,Open Materials Science Journal,No
600,Open Petroleum Engineering Journal,No
601,Oriental Journal of Chemistry,No
602,Ornithologische Beobachter,No
603,Osteopathische Medizin,No
604,Osterreichische Wasser- Und Abfallwirtschaft,No
605,Otorinolaryngologie a Foniatrie,No
606,Pakistan Journal of Biotechnology,No
607,Pakistan Journal of Medical and Health Sciences,No
608,Pakistan Journal of Nutrition,No
609,Parazitologiia,No
610,PCI Journal,No
611,Pediatria Catalana,No
612,Pediatric Dentistry,No
613,Periodico Tche Quimica,No
614,Pestology,No
615,Pharma Kritik,No
616,Pharma Research,No
617,Pharmaceutical Care Espana,No
618,Pharmacognosy Magazine,No
619,Pharmacognosy Research,No
620,Pharmacognosy Reviews,No
621,Pharmacologyonline,No
622,Pharmacopeial Forum,No
623,Phlebologie,No
624,Phlebolymphology,No
625,Physics Essays,No
626,Phyton,No
627,Plant Archives,No
628,Plant Cell Biotechnology and Molecular Biology,No
629,Plant Tissue Culture and Biotechnology,Yes
630,Pollution Research,Yes
631,Ponte,No
632,Postepy Mikrobiologii,No
633,Pracovni Lekarstvi,No
634,Pravention und Rehabilitation,No
635,Prensa Medica Argentina,No
636,Problems of Education in the 21st Century,No
637,Problems of Infectious and Parasitic Diseases,No
638,Proceedings of the International Conference on Industrial Engineering and Operations Management,NaN
639,Prostor,No
640,Prozesswaerme,No
641,Przeglad Papierniczy,No
642,Psyche,No
643,Psychiatrie de l'Enfant,No
644,Psychoanalysis and History,No
645,Psychology and Education,No
646,Psychotropes,No
647,Quaderns de l'Institut Catala d'Antropologia,No
648,Quality in Primary Care,No
649,Rassegna di Patologia dell''Apparato Respiratorio,No
650,Research in World Economy,Yes
651,Research Journal of Applied Sciences,No
652,"Research Journal of Applied Sciences, Engineering and Technology",No
653,Research Journal of Botany,No
654,Research Journal of Business Management,No
655,Research Journal of Cardiology,No
656,Research Journal of Environmental Toxicology,No
657,Research Journal of Immunology,No
658,Research Journal of Information Technology,No
659,Research Journal of Medical Sciences,No
660,Research Journal of Medicinal Plant,No
661,Research Journal of Microbiology,No
662,Research Journal of Obstetrics and Gynecology,No
663,Research Journal of Parasitology,No
664,"Research Journal of Pharmaceutical, Biological and Chemical Sciences",No
665,Research Journal of Pharmacology,No
666,Research Journal of Phytochemistry,No
667,Research Journal of Seed Science,No
668,Research Journal of Toxins,No
669,Review of European Studies,No
670,Review of International Geographical Education Online,No
671,Revista Argentina de Clinica Psicologica,No
672,Revista Argentina de Endocrinologia y Metabolismo,No
673,Revista Chilena de Enfermedades Respiratorias,No
674,Revista Cubana de Cirugia,No
675,Revista Cubana de Medicina,No
676,Revista de Chimie (Bucuresti),No
677,Revista de Filosofia (Venezuela),No
678,Revista de Toxicologia,No
679,Revista del Laboratorio Clinico,No
680,Revista Espacios,No
681,Revista Mexicana de Ciencias Politicas y Sociales,No
682,Revista Romana de Medicina de Laborator,No
683,Revue Francaise de Psychosomatique,No
684,Revue Francophone des Laboratoires,No
685,Revue Francophone d'Orthoptie,No
686,Revue Internationale de Soins Palliatifs,No
687,Risk Governance and Control Financial Markets and Institutions,No
688,Romanian Biotechnological Letters,No
689,Russian Journal of Biopharmaceuticals,No
690,Russian Journal of Criminology,No
691,Russian Journal of Developmental Biology,No
692,Science and Technology of Energetic Materials,No
693,Science for Education Today,No
694,Science of Advanced Materials,No
695,Sciences Sociales et Sante,No
696,Scientific Bulletin of Naval Academy,No
697,Scientist,No
698,SD Revista Medica Internacional Sobre el Sindrome de Down,No
699,Sensor Letters,No
700,Sensors & Transducers,No
701,Silva Balcanica,No
702,Social Sciences,No
703,Soins Cadres,No
704,Somatosensory and Motor Research,No
705,Space Research Journal,No
706,"Studii si Cercetari Stiintifice, Chimie si Inginerie Chimica, Biotehnologii, Industrie Alimentara",No
707,Surveying and Land Information Science,No
708,Svensk Botanisk Tidskrift,No
709,SWS - Rundschau,No
710,Systematic Reviews in Pharmacy,No
711,Talent Development and Excellence,No
712,Teikyo Medical Journal,No
713,Tekstil,No
714,Telma,No
715,Tesol International Journal,No
716,Test Engineering and Management,Yes
717,The International Arabic Journal of Antimicrobial Agents ﻿,No
718,Therapie Familiale,No
719,Tijdschrift voor Geneeskunde,No
720,Tobacco Regulatory Science,No
721,Trace Elements and Electrolytes,No
722,Translational Biomedicine,No
723,Trends in Bioinformatics,Yes
724,Trends In Medical Research,No
