,Journals,Journal Exists
99,Biochemical and Cellular Archives,NaN
100,Biology and Medicine,NaN
101,Biomedical Research,NaN
102,Biomedical Reviews,NaN
103,Biophysical Reviews and Letters,NaN
104,Bioscience Research,NaN
105,"Biosciences, Biotechnology Research Asia",NaN
106,Biotechnology,NaN
107,BioTechnology: An Indian Journal,NaN
108,Blutalkohol,NaN
109,Blyttia,NaN
110,Bolest,NaN
111,Boletin Tecnico/Technical Bulletin,NaN
112,Bridge,NaN
113,Bulletin d'Association de Geographes Francais,NaN
114,Bulletin Minerologie Petrologie,NaN
115,Business and Economic Horizons,NaN
116,C e ca,NaN
117,Campus Virtuales,NaN
118,Canadian Journal of Geriatrics,NaN
119,Carbon Science and Technology,NaN
120,Cardiology (Pakistan),NaN
121,Central Asia and the Caucasus,NaN
122,Ceska Revmatologie,NaN
123,Chemical Engineering,NaN
124,Chemical Engineering Education,NaN
125,Chemical Engineering Progress,NaN
126,Chemistry,NaN
127,Chinese Journal of Cancer Research,NaN
128,Chinesische Medizin,NaN
129,Chung Cheng Ling Hsueh Pao,NaN
130,Clay Research,NaN
131,Clinical Case Reports,NaN
132,Clinical Rhinology,NaN
133,Colourage,NaN
134,Communications In Applied Analysis,NaN
135,Compusoft,NaN
136,Computer Methods in Materials Science,NaN
137,Congenital Anomalies,NaN
138,Contemporary Engineering Sciences,NaN
139,Core Evidence,NaN
140,Corella,NaN
141,Corporate Board Role Duties and Composition,NaN
142,Corporate Ownership and Control,NaN
143,Corps and Psychisme,NaN
144,Cryptologia,NaN
145,Cuadernos de Vivienda y Urbanismo,NaN
146,Current Biomarker Findings,NaN
147,Current Neurobiology,NaN
148,Current Pediatric Research         ,NaN
149,Current Research In Tuberculosis,NaN
150,Der Pharma Chemica,NaN
151,Der Pharmacia Lettre,NaN
152,Dermatolgie in Beruf und Umwelt,NaN
153,"Dermatologia Cosmetica, Medica y Quirurgica",NaN
154,Deutsche Zeitschrift fur Akupunktur,NaN
155,Deutsche Zeitschrift fur Onkologie,NaN
156,Deviance et Societe,NaN
157,Dhaka University Journal of Pharmaceutical Sciences,NaN
158,Diabetes and Primary Care,NaN
159,"Diabetes, Stoffwechsel und Herz",NaN
160,Dialisis y Trasplante,NaN
161,Diversity & Equality in Health and Care,NaN
162,Drug Invention Today,NaN
163,Dynamic Systems and Applications,NaN
164,Dynamische Psychiatrie,NaN
165,Eastern Anthropologist,NaN
166,"Ecology, Environment and Conservation",NaN
167,"Economics, Management and Financial Markets",NaN
168,Ecos - Review of Conservation,NaN
169,Education in the Knowledge Society,NaN
170,Education Sciences: Theory and Practice,NaN
171,Ekonomista,NaN
172,Electronic Journal of Geotechnical Engineering,NaN
173,Elementary Education Online,NaN
174,Endokrinologya,NaN
175,Energy Education Science and Technology Part A: Energy Science and Research,NaN
176,Energy Education Science and Technology Part B: Social and Educational Studies,NaN
177,Engineering Design Graphics Journal,NaN
178,English Language Teaching,NaN
179,Entomologist''s Gazette,NaN
180,Entrepreneurial Executive,NaN
181,Entrepreneurship and Sustainability Issues,NaN
182,"Environnement, Risques et Sante",NaN
183,EPJ Web of Conferences,NaN
184,Erciyes Medical Journal,NaN
185,Espace Geographique,NaN
186,Essaim,NaN
187,Estudios de Economia Aplicada,NaN
188,Ethique et Sante,NaN
189,Ethnobiology Letters,NaN
190,Eurasian Journal of Analytical Chemistry,NaN
191,"European Journal of Economics, Finance and Administrative Sciences",NaN
192,European Journal of Electrical Engineering,NaN
193,European Journal of Gynaecological Oncology,NaN
194,European Journal of Molecular and Clinical Medicine,NaN
195,European Journal of Palliative Care,NaN
196,European Journal of Scientific Research,NaN
197,European Journal of Social Sciences,NaN
198,European Journal of Sustainable Development,NaN
199,European Research Studies Journal,NaN
200,Experimental and Therapeutic Medicine,NaN
201,Familiendynamik,NaN
202,Far East Journal of Electronics and Communications,NaN
203,Far East Journal of Mathematical Sciences,NaN
204,Farmaceuticky Obzor,NaN
205,Farmacevtski Vestnik,NaN
206,Formalized Mathematics,NaN
207,Forum Logopadie,NaN
208,Foundations of Chemistry,NaN
209,Fragmenta Floristica et Geobotanica Polonica,NaN
210,Fresenius Environmental Bulletin,NaN
211,Frontiers,NaN
212,"Geopolitics, History, and International Relations",NaN
213,GIM International,NaN
214,Giornale Italiano di Diabetologia e Metabolismo,NaN
215,Global Journal of Pharmacology,NaN
216,Global Journal of Pure and Applied Mathematics,NaN
217,Global Media Journal,NaN
218,Global Veterinaria,NaN
219,Gogus-Kalp-Damar Anestezi ve Yogun Bakim Dernegi Dergisi,NaN
220,Group Analysis,NaN
221,Gruppenpsychotherapie und Gruppendynamik,NaN
222,"Gummi, Fasern, Kunststoffe",NaN
223,Head and Neck Oncology,NaN
224,Health Science Journal,NaN
225,Hematologie,NaN
226,Hitachi Review,NaN
227,Human and Veterinary Medicine,NaN
228,Humanities and Social Sciences Reviews,NaN
229,Hygiena,NaN
230,ICGA Journal,NaN
231,IEJME - Mathematics Education,NaN
232,IIAOB Journal,NaN
233,Incas Bulletin,NaN
234,Indian Journal of Ecology,NaN
235,Indian Journal of Economics and Business,NaN
236,Indian Journal of Experimental Biology,NaN
237,Indian Journal of Forensic Medicine and Toxicology,NaN
238,Indian Journal of Medical Sciences,NaN
239,Indian Journal of Pharmaceutical Sciences,NaN
240,Indian Journal of Public Health Research and Development,NaN
241,Indian Journal of Science and Technology,NaN
242,Information (Japan),NaN
243,Information Tecnoliga,NaN
244,Informatologia ,NaN
245,Intensiv- und Notfallbehandlung,NaN
246,International archives of medicine,NaN
247,International Business Management,NaN
248,International Conference on Applied and Computational Mathematics,NaN
249,International Conference on Applied Computer Science - Proceedings,NaN
250,International Conference on Applied Mathematics and Informatics - Proceedings,NaN
251,"International Conference on Applied Mathematics, Simulation, Modelling - Proceedings",NaN
252,"International Conference on Circuits, Systems and Signals - Proceedings",NaN
253,"International Conference on Circuits, Systems, Electronics, Control and Signal Processing - Proceedings",NaN
254,"International Conference on Circuits, Systems, Signal and Telecommunications - Proceedings",NaN
255,International Conference on Communication and Management in Technological Innovation and Academic Globalization - Proceedings,NaN
256,International Conference on Communications - Proceedings,NaN
257,International Conference on Communications and Information Technology - Proceedings,NaN
258,"International Conference on Data Networks, Communications, Computers - Proceedings",NaN
259,"International Conference on Development, Energy, Environment, Economics - Proceedings",NaN
260,International Conference on Education and Educational Technologies - Proceedings,NaN
261,"International Conference on Electric Power Systems, High voltages, Electric machines, International conference on Remote sensing - Proceedings",NaN
262,"International Conference on Energy and Development, Environment and Biomedicine - Proceedings",NaN
263,International Conference on Engineering Education and International Conference on Education and Educational Technologies - Proceedings,NaN
264,"International Conference on Engineering Mechanics, Structures, Engineering Geology, International Conference on Geography and Geology - Proceedings",NaN
265,"International Conference on Manufacturing Engineering, Quality and Production Systems, MEQAPS - Proceedings",NaN
266,International Conference on Mathematical and Computational Methods in Science and Engineering - Proceedings,NaN
267,International Conference on Mathematical Methods and Computational Techniques in Electrical Engineering - Proceedings,NaN
268,International Conference on Mathematical Models for Engineering Science - Proceedings,NaN
269,International conference on System Science and Simulation in Engineering - Proceedings,NaN
270,"International Conference on Theoretical and Applied Mechanics, International Conference on Fluid Mechanics and Heat and Mass Transfer - Proceedings",NaN
271,International Conference on Urban Planning and Transportation - Proceedings,NaN
272,"International Conference on Urban Sustainability, Cultural Sustainability, Green Development, Green Structures and Clean Cars, USCUDAR - Proceedings",NaN
273,"International Conference on Visualization, Imaging and Simulation - Proceedings",NaN
274,International Education Studies,NaN
275,International Journal of Advanced Computer Research,NaN
276,International Journal of Advanced Research in Engineering and Technology,NaN
277,International Journal of Advanced Science and Technology,NaN
278,International Journal of Advanced Trends in Computer Science and Engineering,NaN
279,International Journal of Advances In Pharmaceutical Sciences,NaN
280,International Journal of Agricultural Extension,NaN
281,International Journal of Agricultural Research,NaN
282,International Journal of Applied Business and Economic Research,NaN
283,International Journal of Applied Chemistry,NaN
284,International Journal of Applied Engineering Research,NaN
285,International Journal of Applied Engineering Research (Netherlands),NaN
286,International Journal of Applied Linguistics and English Literature,NaN
287,International Journal of Applied Research in Natural Products,NaN
288,International Journal of Bio Science and Bio Technology,NaN
289,International Journal of Biochemistry and Molecular Biology,NaN
290,International Journal of Biological Chemistry,NaN
291,International Journal of Biology and Biomedical Engineering,NaN
292,International Journal of Biomedical Science,NaN
293,International Journal of Botany,NaN
294,International Journal of Business Research,NaN
295,International Journal of Cancer Research,NaN
296,International Journal of Celiac Disease,NaN
297,International Journal of Chemical Sciences,NaN
298,International Journal of Chemtech Research,NaN
299,International Journal of Circuits Systems and Signal Processing,NaN
300,International Journal of Civil Engineering and Technology,NaN
301,International Journal of Clinical and Experimental Medicine,NaN
302,International Journal of Clinical and Experimental Pathology,NaN
303,International Journal of Combinatorial Graph Theory and Applications,NaN
304,International Journal of Computational Intelligence in Control,NaN
305,International Journal of Control and Automation,NaN
306,International Journal of Control Theory and Applications,NaN
307,International Journal of Criminology and Sociology,NaN
308,International Journal of Current Pharmaceutical Review and Research,NaN
309,International Journal of Current Research and Review,NaN
310,International Journal of Dentistry and Oral Science,NaN
311,"International Journal of Diversity in Organisations, Communities and Nations",NaN
312,International Journal of Drug Delivery,NaN
313,International Journal of Drug Development and Research,NaN
314,International Journal of Early Childhood Special Education,NaN
315,International Journal of Earth Sciences and Engineering,NaN
316,International Journal of Ecological Economics and Statistics,NaN
317,International Journal of Ecology and Development,NaN
318,International Journal of Ecology and Environmental Sciences,NaN
319,International Journal of Economic Perspectives,NaN
320,International Journal of Economic Research,NaN
321,International Journal of Economics and Business Administration,NaN
322,International Journal of Economics and Financial Issues,NaN
323,International Journal of Electrical Engineering and Technology,NaN
324,International Journal of Electrospun Nanofibers and Applications,NaN
325,International Journal of Emerging Trends in Engineering Research,NaN
326,International Journal of Engineering and Advanced Technology,NaN
327,International Journal of Engineering and Technology,NaN
328,International Journal of Engineering and Technology(UAE),NaN
329,International Journal of Engineering Intelligent Systems for Electrical Engineering and Communications,NaN
330,International Journal of Engineering Research and Technology,NaN
331,International Journal of Entrepreneurship,NaN
332,International Journal of Environmental and Science Education,NaN
333,International Journal of Finance Research,NaN
334,International Journal of Green Pharmacy,NaN
335,International Journal of Grid and Distributed Computing,NaN
336,International Journal of Health Sciences ,NaN
337,International Journal of High Performance Computing and Networking,NaN
338,International Journal of Higher Education,NaN
339,International Journal of Human Genetics,NaN
340,International Journal of Imaging and Robotics,NaN
341,"International Journal of Innovation, Creativity and Change",NaN
342,International Journal of Innovative Technology and Exploring Engineering,NaN
343,International Journal of Integrative Biology,NaN
344,International Journal of Intelligent Systems and Applications,NaN
345,International Journal of Machine Learning and Computing,NaN
346,International Journal of Management,NaN
347,International Journal of Mathematical Analysis,NaN
348,International Journal of Mathematical Models and Methods in Applied Sciences,NaN
349,International Journal of Mathematics and Computers In Simulation,NaN
350,International Journal of Mechanical and Mechanics Engineering,NaN
351,International Journal of Mechanical and Production Engineering Research and Development,NaN
352,International Journal of Mechanical Engineering,NaN
353,International Journal of Mechanical Engineering and Technology,NaN
354,International Journal of Mobile Communications,NaN
355,International Journal of Molecular Epidemiology and Genetics,NaN
356,International Journal of Multimedia and Ubiquitous Engineering,NaN
357,International Journal of Network Security,NaN
358,International Journal of Nonlinear Analysis and Applications,NaN
359,International Journal of Oceans and Oceanography,NaN
360,International Journal of Osteoporosis and Metabolic Disorders,NaN
361,International Journal of Pediatrics- Mashhad,NaN
362,International Journal of Pharma and Bio Sciences,NaN
363,International Journal of Pharmaceutical and Clinical Research,NaN
364,International Journal of Pharmaceutical Research,NaN
365,International Journal of Pharmaceutical Sciences Review and Research,NaN
366,International Journal of Pharmacognosy and Phytochemical Research,NaN
367,International Journal of Pharmacology,NaN
368,International Journal of Pharmacy and Pharmaceutical Sciences,NaN
369,International Journal of Pharmacy and Technology,NaN
370,International Journal of Pharmtech Research,NaN
371,"International Journal of Physiology, Pathophysiology and Pharmacology",NaN
372,International Journal of Phytomedicine,NaN
373,International Journal of Poultry Science,NaN
374,International Journal of Psychosocial Rehabilitation,NaN
375,International Journal of Pure and Applied Mathematics,NaN
376,International Journal of Recent Technology and Engineering,NaN
377,International Journal of Research In Ayurveda and Pharmacy,NaN
378,International Journal of Research in Education and Science,NaN
379,International Journal of Research in Pharmaceutical Sciences,NaN
380,International Journal of Scientific and Technology Research,NaN
381,International Journal of Security and Its Applications,NaN
382,"International Journal of Simulation: Systems, Science and Technology",NaN
383,International Journal of Smart Grid and Clean Energy,NaN
384,International Journal of Smart Home,NaN
385,International Journal of Sociology of the Family,NaN
386,International Journal of Soft Computing,NaN
387,International Journal of Software Engineering and its Applications,NaN
388,International Journal of Soil Science,NaN
389,International Journal of Supply Chain Management,NaN
390,International Journal of Systems Signal Control and Engineering Application,NaN
391,International Journal of Tomography and Simulation,NaN
392,International Journal of Toxicological and Pharmacological Research,NaN
393,International Journal of Tropical Medicine,NaN
394,International Journal of Virology,NaN
395,International Journal of Wine Research,NaN
396,International Journal of Zoological Research,NaN
397,International Journal on Advances in Life Sciences,NaN
398,International Journal on Emerging Technology,NaN
399,International Medical Journal,NaN
400,International Research Journal of Finance and Economics,NaN
401,International Review of Management and Marketing,NaN
402,International Review of Modern Sociology,NaN
403,International Review on Computers and Software,NaN
404,Internet Journal of Microbiology,NaN
405,IOP Conference Series: Materials Science and Engineering,NaN
406,Iranian Red Crescent Medical Journal,NaN
407,ISACA Journal,NaN
408,Japanese Journal of Antibiotics,NaN
409,JOP. Journal of the Pancreas,NaN
410,Journal des Maladies Vasculaires,NaN
411,Journal for the Education of Gifted Young Scientists,NaN
412,Journal fur Hypertonie,NaN
413,Journal fur Kardiologie,NaN
414,Journal of Advanced Oxidation Technologies,NaN
415,Journal of Advanced Research in Dynamical and Control Systems,NaN
416,Journal of Advanced Research in Law and Economics,NaN
417,Journal of Agricultural Food and Environmental Sciences,NaN
418,Journal of Agronomy,NaN
419,Journal of AIDS and Clinical Research,NaN
420,Journal of Alcohol and Drug Education,NaN
421,Journal of Analytical Oncology,NaN
422,Journal of Anesthesia and Clinical Research,NaN
423,Journal of Animal and Veterinary Advances,NaN
424,Journal of Antivirals and Antiretrovirals,NaN
425,Journal of Applied Biological Sciences,NaN
426,Journal of Applied Economic Sciences,NaN
427,Journal of Applied Science,NaN
428,Journal of Aquaculture Research and Development,NaN
429,Journal of Aquatic Plant Management,NaN
430,Journal of Artificial Intelligence,NaN
431,"Journal of Asian Finance, Economics and Business ",NaN
432,Journal of Bioanalysis and Biomedicine,NaN
433,Journal of Biobased Materials and Bioenergy,NaN
434,Journal of Bioequivalence and Bioavailability,NaN
435,Journal of Biological Sciences,NaN
436,Journal of Biology and Today's World,NaN
437,Journal of Biomaterials and Tissue Engineering,NaN
438,Journal of Business and Retail Management Research,NaN
439,Journal of Cancer Science and Therapy,NaN
440,Journal of Cardiovascular Disease Research,NaN
441,Journal of Chemical and Pharmaceutical Research,NaN
442,Journal of Chemical and Pharmaceutical Sciences,NaN
443,Journal of Clinical and Analytical Medicine,NaN
444,Journal of Clinical and Diagnostic Research,NaN
445,Journal of Clinical and Experimental Cardiology,NaN
446,Journal of Clinical Engineering,NaN
447,Journal of Computers,NaN
448,Journal of Computers (Taiwan),NaN
449,Journal of Critical Reviews,NaN
450,Journal of Dementia Care,NaN
451,Journal of Digital Information Management,NaN
452,Journal of Economics and Economic Education Research,NaN
453,Journal of Ecophysiology and Occupational Health,NaN
454,Journal of Electrical Engineering,NaN
455,Journal of Emerging Technologies in Web Intelligence,NaN
456,"Journal of Endocrinology, Metabolism and Diabetes of South Africa",NaN
457,Journal of Engineering and Applied Sciences,NaN
458,Journal of English as an International Language,NaN
459,Journal of Entomology,NaN
460,Journal of Entrepreneurship Education,NaN
461,Journal of Environment Treatment Techniques,NaN
462,Journal of Environmental Hydrology,NaN
463,Journal of Environmental Science and Technology,NaN
464,Journal of Evolutionary Biochemistry and Physiology,NaN
465,Journal of Fisheries and Aquatic Science,NaN
466,"Journal of Food, Agriculture and Environment",NaN
467,Journal of Generalized Lie Theory and Applications,NaN
468,Journal of Generic Medicines,NaN
469,Journal of Global Pharma Technology,NaN
470,Journal of Green Engineering,NaN
471,Journal of Human Ecology,NaN
472,Journal of Industrial Pollution Control,NaN
473,Journal of Information Technology Research,NaN
474,Journal of Intercultural Ethnopharmacology,NaN
475,Journal of Interdisciplinary and Multidisciplinary Research,NaN
476,Journal of International Agricultural and Extension Education,NaN
477,Journal of International Business and Economics,NaN
478,Journal of Internet Banking and Commerce,NaN
479,Journal of Japanese Botany,NaN
480,Journal of Konbin,NaN
481,Journal of Language and Linguistic Studies,NaN
482,Journal of Language and Literature,NaN
483,Journal of Legal Ethical and Regulatory Issues,NaN
484,Journal of Management Information and Decision Science ,NaN
485,Journal of Manufacturing Research,NaN
486,Journal of Materials and Environmental Science,NaN
487,Journal of Mathematical and Computational Science,NaN
488,Journal of Mathematical Control Science and Applications,NaN
489,Journal of Mathematics and Statistics,NaN
490,Journal of Mechanical Engineering and Sciences,NaN
491,Journal of Mechanical Engineering Research and Development,NaN
492,Journal of Medical Imaging and Health Informatics,NaN
493,Journal of Medical Sciences,NaN
494,Journal of Microbial and Biochemical Technology,NaN
495,Journal of Multimedia,NaN
496,Journal of Nanoelectronics and Optoelectronics,NaN
497,Journal of Nanomedicine and Nanotechnology,NaN
498,Journal of Nanoscience and Nanotechnology,NaN
499,Journal of Networks,NaN
500,Journal of Nonlinear Science and Applications,NaN
501,Journal of Nuclear Energy Science and Power Generation Technology,NaN
502,Journal of Organizational Culture Communications and Conflict,NaN
503,Journal of Pain Management,NaN
504,Journal of Pharmaceutical Sciences and Research,NaN
505,Journal of Pharmacognosy and Phytotherapy,NaN
506,Journal of Pharmacology and Toxicology,NaN
507,Journal of Pharmacy and Nutrition Sciences,NaN
508,Journal of Physical Therapy Science,NaN
509,Journal of Plant Sciences,NaN
510,Journal of Polymer Materials,NaN
511,Journal of Probability and Statistics,NaN
512,Journal of Proteomics and Bioinformatics,NaN
513,Journal of Psychohistory,NaN
514,Journal of Real Estate Practice and Education,NaN
515,Journal of Research in Gender Studies,NaN
516,Journal of Residuals Science and Technology,NaN
517,Journal of Reviews on Global Economics,NaN
518,Journal of RNA and Genomics,NaN
519,Journal of Rubber Research,NaN
520,Journal of Science Education,NaN
521,Journal of Scientific Exploration,NaN
522,Journal of Security and Sustainability Issues,NaN
523,Journal of Self-Governance and Management Economics,NaN
524,Journal of Social Sciences Research,NaN
525,Journal of Sociology and Social Anthropology,NaN
526,Journal of Software,NaN
527,Journal of Software Engineering,NaN
528,Journal of Solid Mechanics,NaN
529,Journal of Sustainable Development,NaN
530,"Journal of Telecommunication, Electronic and Computer Engineering",NaN
531,"Journal of the Faculty of Agriculture, Kyushu University",NaN
532,Journal of the Indian Academy of Applied Psychology,NaN
533,Journal of The International Academy For Case Studies,NaN
534,Journal of the National Academy of Legal Sciences of Ukraine,NaN
535,Journal of Undergraduate Neuroscience Education,NaN
536,Journal of Vaccines and Vaccination,NaN
537,Journal of Veterinary Science and Technology,NaN
538,Journal of Water Chemistry and Technology,NaN
539,Journal of Young Pharmacists,NaN
540,"JP Journal of Algebra, Number Theory and Applications",NaN
541,JP Journal of Geometry and Topology,NaN
542,Kemija u Industriji,NaN
543,Kinderanalyse,NaN
544,Kindheit und Entwicklung,NaN
545,Kitakanto Medical Journal,NaN
546,Klinicka Biochemie a Metabolismus,NaN
547,Kosmetische Medizin,NaN
548,Larmbekampfung,NaN
549,LC-GC Europe,NaN
550,Leonardo Electronic Journal of Practices and Technologies,NaN
551,Library Philosophy and Practice ,NaN
552,Life Science Journal,NaN
553,Limosa,NaN
554,Linguistics Journal,NaN
555,Literary Review,NaN
556,Lowland Technology International,NaN
557,Man in India,NaN
558,Management Science Letters,NaN
559,MATEC Web of Conferences,NaN
560,Mathematical and Computational Applications,NaN
561,Medecine du Sommeil,NaN
562,Medecine et Chirurgie du Pied,NaN
563,Media Watch,NaN
564,Medical Journal of Cell Biology,NaN
565,Medicina e Chirurgia della Caviglia e del Piede,NaN
566,Medico-Legal Update,NaN
567,Mediterranean Journal of Chemistry,NaN
568,Mediterranean Journal of Social Sciences,NaN
569,Melliand Textilberichte/International Textile Reports,NaN
570,Memoranda - Societatis pro Fauna et Flora Fennica,NaN
571,Mental Health in Family Medicine,NaN
572,Metallurgical and Mining Industry,NaN
573,Middle East Journal of Scientific Research,NaN
574,Mitsubishi Electric Advance,NaN
575,"Modelling, Measurement and Control A",NaN
576,"Modelling, Measurement and Control B",NaN
577,"Modelling, Measurement and Control C",NaN
578,Modern Applied Science,NaN
579,Moscow University Computational Mathematics and Cybernetics,NaN
580,Music Scholarship,NaN
581,Nanoscience and Nanotechnology Letters,NaN
582,"National Journal of Physiology, Pharmacy and Pharmacology",NaN
583,Natural Volatiles and Essential Oils,NaN
584,Nederlands Tijdschrift voor Klinische Chemie en Laboratoriumgeneeskunde,NaN
585,Network Biology,NaN
586,Neural Parallel and Scientific Computations,NaN
587,Neurochemical Journal,NaN
588,Neuropsychological Trends,NaN
589,NeuroQuantology ,NaN
590,Nieren- und Hochdruckkrankheiten,NaN
591,Obesite,NaN
592,Occupational Health and Safety,NaN
593,Okajimas Folia Anatomica Japonica,NaN
594,Oncoscience,NaN
595,Opcion,NaN
596,Open Access Macedonian Journal of Medical Sciences,NaN
597,Open Electrical and Electronic Engineering Journal,NaN
598,Open Infectious Diseases Journal,NaN
599,Open Materials Science Journal,NaN
600,Open Petroleum Engineering Journal,NaN
601,Oriental Journal of Chemistry,NaN
602,Ornithologische Beobachter,NaN
603,Osteopathische Medizin,NaN
604,Osterreichische Wasser- Und Abfallwirtschaft,NaN
605,Otorinolaryngologie a Foniatrie,NaN
606,Pakistan Journal of Biotechnology,NaN
607,Pakistan Journal of Medical and Health Sciences,NaN
608,Pakistan Journal of Nutrition,NaN
609,Parazitologiia,NaN
610,PCI Journal,NaN
611,Pediatria Catalana,NaN
612,Pediatric Dentistry,NaN
613,Periodico Tche Quimica,NaN
614,Pestology,NaN
615,Pharma Kritik,NaN
616,Pharma Research,NaN
617,Pharmaceutical Care Espana,NaN
618,Pharmacognosy Magazine,NaN
619,Pharmacognosy Research,NaN
620,Pharmacognosy Reviews,NaN
621,Pharmacologyonline,NaN
622,Pharmacopeial Forum,NaN
623,Phlebologie,NaN
624,Phlebolymphology,NaN
625,Physics Essays,NaN
626,Phyton,NaN
627,Plant Archives,NaN
628,Plant Cell Biotechnology and Molecular Biology,NaN
629,Plant Tissue Culture and Biotechnology,NaN
630,Pollution Research,NaN
631,Ponte,NaN
632,Postepy Mikrobiologii,NaN
633,Pracovni Lekarstvi,NaN
634,Pravention und Rehabilitation,NaN
635,Prensa Medica Argentina,NaN
636,Problems of Education in the 21st Century,NaN
637,Problems of Infectious and Parasitic Diseases,NaN
638,Proceedings of the International Conference on Industrial Engineering and Operations Management,NaN
639,Prostor,NaN
640,Prozesswaerme,NaN
641,Przeglad Papierniczy,NaN
642,Psyche,NaN
643,Psychiatrie de l'Enfant,NaN
644,Psychoanalysis and History,NaN
645,Psychology and Education,NaN
646,Psychotropes,NaN
647,Quaderns de l'Institut Catala d'Antropologia,NaN
648,Quality in Primary Care,NaN
649,Rassegna di Patologia dell''Apparato Respiratorio,NaN
650,Research in World Economy,NaN
651,Research Journal of Applied Sciences,NaN
652,"Research Journal of Applied Sciences, Engineering and Technology",NaN
653,Research Journal of Botany,NaN
654,Research Journal of Business Management,NaN
655,Research Journal of Cardiology,NaN
656,Research Journal of Environmental Toxicology,NaN
657,Research Journal of Immunology,NaN
658,Research Journal of Information Technology,NaN
