Title,Authors,Keywords,Journal,Abstract
Conceptual review papers: revisiting existing research to develop and refine theory,"Hulland, John",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (1-2), p.27-35","Conceptual review papers can theoretically enrich the field of marketing by reviewing extant knowledge, noting tensions and inconsistencies, identifying important gaps as well as key insights, and proposing agendas for future research. The result of this process is a theoretical contribution that refines, reconceptualizes, or even replaces existing ways of viewing a phenomenon. This paper spells out the primary aims of conceptual reviews and clarifies how they differ from other theory development efforts. It also describes elements essential to a strong conceptual review paper and offers a specific set of best practices that can be used to distinguish a strong conceptual review from a weak one."
Theorizing markets,"Kjellberg, Hans ;  Murto, Riikka",Business and Management ;  Editorial ;  Marketing ;  Social Sciences,"AMS review, 2021, Vol.11 (3-4), p.207-215",
Consequences of mandated usage of innovations in organizations: developing an innovation decision model of symbolic and forced adoption,"Heidenreich, Sven ;  Talke, Katrin",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (3-4), p.279-298","In organizations, mandated adoption contexts are the rule rather than the exception. Individuals, who are denied the choice between adopting and rejecting an innovation, are more likely to engage in opposition behavior, particularly if the innovation conflicts with their held beliefs. Interestingly, neither the construct of forced adoption nor its consequences have received much research attention. To address this gap, we conduct a systematic literature review and provide theoretical rationales for the emergence of innovation resistance and opposition behaviors in organizations. We then develop an innovation decision model of individual adoption behavior that localizes negative outcomes of the secondary adoption process along the different process stages, providing insights into their emergence and potential consequences for the organization. Furthermore, we identify important avenues for future research and show how our innovation decision model can be used to advance theory development on forced adoption."
Stakeholder marketing: a definition and conceptual framework,"Hult, G. Tomas M. ;  Mena, Jeannette A. ;  Ferrell, O. C. ;  Ferrell, Linda",Business and Management ;  Marketing ;  Social Sciences,"AMS review, 2011, Vol.1 (1), p.44-65","Stakeholder marketing has established foundational support for redefining and broadening the marketing discipline. An extensive literature review of 58 marketing articles that address six primary stakeholder groups (i.e., customers, suppliers, employees, shareholders, regulators, and the local community) provides evidence of the important role the groups play in stakeholder marketing. Based on this review and in conjunction with established marketing theory, we define stakeholder marketing as “activities and processes within a system of social institutions that facilitate and maintain value through exchange relationships with multiple stakeholders.” In an effort to focus on the stakeholder marketing field of study, we offer both a conceptual framework for understanding the pivotal role of stakeholder marketing and research questions for examining the linkages among stakeholder exchanges, value creation, and marketing outcomes."
The Möbius strip of market spatiality: mobilizing transdisciplinary dialogues between CCT and the marketing mainstream,"Coffin, Jack ;  Chatzidakis, Andreas",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (1-2), p.40-59","This paper develops the Möbius strip as an ‘ordering theory’ (Sandberg and Alvesson,
2020
) that brings CCT studies into dialogue with mainstream marketing approaches. The aim is to work toward a transdisciplinary understanding of market spatiality, a topic that has become increasingly important for theorists and practitioners (Warnaby and Medway,
2013
; Castilhos et al., 
2016
; Chatzidakis et al., 
2018
). Building on psychosocial interpretations of the Möbius strip as a ‘tactical’ way of thinking, a range of insights and ideas are organized along a single strip of theorization. This paper maps a continuous plane of logic between the concepts of space, place, emplacement, spatiality, implacement, and displacement. The potential applications of the Möbius strip are then demonstrated by showing how the transdisciplinary topic of ‘atmosphere’ can be theorized from multiple perspectives. The paper concludes by exploring how the Möbius strip might also be employed in other areas of marketing theory and practice, potentially generating further transdisciplinary conversations between CCT and the marketing mainstream."
Re-examining utopia in contemporary consumption: conceptualization and implications for marketing,"Atanasova, Aleksandrina",Business and Management ;  Conceptual ;  Desire ;  Escape ;  Experiential consumption ;  Liquid consumption ;  Marketing ;  Retailing ;  Social Sciences ;  Theory ;  Theory/Conceptual ;  Utopia,"AMS review, 2021, Vol.11 (1-2), p.23-39","This paper introduces liquid consumer utopias, defined as market-mediated expressions of individuals’ desires to re-imagine and re-construct reality, and to re-frame the present. This conceptual lens illuminates previously untheorized consumption phenomena, which are socially constructed, and often critical, efforts to enact an alternative way of being in an increasingly uncertain and unpredictable world. Three key characteristics of liquid utopias are outlined—immediacy, transience and hyper-individualization––each pointing to liquid consumer utopias’ function to facilitate present-oriented and short-lived re-imaginings of reality. Co-existing alongside the solid and collective utopian consumption of interest to prior research, these emergent forms of liquid consumer utopias articulate a re-imagining of the present (rather than the future), have an emphasis on individual (rather than communal) experiences of betterment, and an orientation toward temporary re-framings of the experienced reality (rather than a pursuit of permanence and long-lasting change). Implications are discussed for retailing, experiential consumption, and consumer self-optimization."
Sustainable marketing based on virtue ethics: addressing socio-ecological challenges facing humankind,"Dyck, Bruno ;  Manchanda, Rajesh V.",Business and Management ;  Conceptual ;  Ethics ;  Marketing ;  Marketing 4 Ps ;  Marketing-mix paradigm ;  Social Sciences ;  Sustainability ;  Theory ;  Theory/Conceptual ;  Triple Bottom Line ;  Utilitarian ethics ;  Virtue ethics,"AMS review, 2021, Vol.11 (1-2), p.115-132","It is generally accepted that the primary goal of marketing, even conventional sustainable marketing, is to enhance organizations’ financial well-being, a view that is consistent with mainstream utilitarian ethics. However, this profit-first focus often inadvertently contributes to socio-ecological problems and undermines the ability of marketing to adequately address resulting challenges. This paper presents an approach to sustainable marketing that we call Social and Ecological Thought (SET) marketing, which is based on virtue ethics and aims to optimize social and ecological well-being while ensuring financial viability. We describe implications of SET marketing for each of the 4 Ps in the marketing-mix paradigm—product, price, place, and promotion—and compare them to conventional views based on mainstream utilitarian ethics. SET marketing is relevant for the growing number of consumers and businesses that willingly forgo the maximization of financial well-being in order to optimize socio-ecological well-being. Implications for theory and practice are discussed."
Understanding the do-it-yourself consumer: DIY motivations and outcomes,"Wolf, Marco ;  McQuitty, Shaun",Business and Management ;  Marketing ;  Social Sciences,"AMS review, 2011, Vol.1 (3-4), p.154-170","Do-it-yourself (DIY) is an increasingly popular consumer behavior, but little is known about this large consumer segment. We undertake a depth interview study and review diverse literatures to develop a conceptual model of DIY behavior that explores the reasons why consumers DIY and the benefits they receive. The purpose of the model is to improve our understanding of a consumer segment that, in many ways, behaves differently from typical consumers. Research propositions are derived and discussions of implications and ideas for future research follow."
The new frontier of consumer experiences: escape through pain,"Cova, Bernard",Anti-structure ;  Business and Management ;  CCT ;  Conceptual ;  Consumers ;  Escape ;  Experience ;  Humanities and Social Sciences ;  Marketing ;  Orwell ;  Pain ;  Social Sciences ;  Theory ;  Theory/Conceptual ;  Whitening,"AMS review, 2021, Vol.11 (1-2), p.60-69","Terms such as
consumer experience
and
experiential consumption
have become ubiquitous in the realm of marketing. The last decades have seen a dramatic increase in academic publications exploring these concepts across many different streams and have resulted in significant advances in scholarly understanding. Consumer culture theory (CCT) scholars have particularly participated in this effort by investigating extraordinary experiences and framing them as escapes from everyday life. This paper proposes a summary of CCT contributions on extraordinary experiences and emphasizes the way these works have used the structural/anti-structural coexistence theory to depict the experiences consumers live through. Then it mobilizes a fiction to improve the understanding of escape. This paper highlights how painful leisure pursuits enable consumers to reconnect with their bodies, affording them moments of escape from an otherwise saturated self. The paper shows how the concept of self-escape is important to envision the possibilities in marketing painful experiences."
The influence of media multitasking on advertising effectiveness,"Garaus, Marion",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (3-4), p.244-259","Recent years have seen an increasing trend among consumers toward using two or more media simultaneously, a phenomenon known as media multitasking. The majority of the extant literature agrees that media multitasking has detrimental effects on advertising effectiveness. However, opportunities exist for reducing these negative effects or even creating effects favorable to advertising outcomes. Nevertheless, the literature on media multitasking during advertising exposure is highly fragmented and findings are inconclusive. This literature review synthesizes the extant studies on message processing in media multitasking situations. It develops a comprehensive conceptual framework on the effects of media multitasking on advertising effectiveness, with particular attention to mediating processes and moderating variables. The conceptual model explains the circumstances under which individuals devote voluntary or involuntary attention to advertisements during media multitasking, advances knowledge on the role of different sensory modalities, and reveals how the two types of information processing complement each other during simultaneous media usage."
Rethinking marketing: back to purpose,"Fehrer, Julia A.",Business and Management ;  Commentary ;  Grand challenges ;  Market shaping ;  Marketing ;  Marketing myopia ;  Social Sciences ;  Systems thinking ;  Value cocreation,"AMS review, 2020, Vol.10 (3-4), p.179-184","Key and colleagues raise some serious criticisms related to the marketing discipline’s purpose drift and short-sighted approach to rigor and relevance. They provide a comprehensive and nuanced picture of the grand challenges in marketing, including the loss of domain expertise, detachment from real-world phenomena, nurturing of methodological monocultures and more generally a perception problem in academia and management practice. This commentary complements their assessment by reviewing strands of literature in the niches and at the edge of mainstream marketing, where we may find some solutions or at least seeds for solutions as a starting point to refine, recalibrate and potentially reshape the future of marketing and marketing research."
Indigenous theory development in marketing: the foundational premises approach,"Hunt, Shelby D.",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (1-2), p.8-17","Marketing’s intellectual health requires indigenous theory development. However, marketing is a discipline that, almost exclusively, imports its concepts and theories from other disciplines and applies them to marketing issues. Articles that either
develop
indigenous marketing theory or
use
such theory as a foundation for empirical research are notably absent from marketing journals. A major reason for the absence of indigenous marketing theory is the lack of well-developed procedures and approaches for developing theories and writing conceptual articles. This article proposes, explicates, and illustrates with a concrete example (i.e., service-dominant (S-D) logic) an approach to theory development in marketing that is labeled the “foundational premises, inductive realist approach.” Although this approach is not an algorithmic procedure for theory development, it can provide a valuable conceptual framework for furthering the development of indigenous marketing theory."
A service design approach to healthcare innovation: from decision-making to sense-making and institutional change,"Patrício, Lia ;  Grenha Teixeira, Jorge ;  Vink, Josina",Business and Management ;  Commentary ;  Decision making ;  Marketing ;  Social Sciences,"AMS review, 2019, Vol.9 (1-2), p.115-120","Healthcare is facing complex challenges that demand profound service system innovation. Service design offers an opportunity to move beyond explanatory research and take an action-oriented approach that combines research rigor with relevance to foster innovation in healthcare. We present three research projects that illustrate different ways service design can enable health service system innovation to create uplifting changes in wellbeing. The first research project utilizes a decision-making approach to support design teams in developing value co-creating technology-enabled services for skin cancer prevention. The second project employs a sense-making approach through participatory design to develop a National Electronic Health Record that addresses the multiple and conflicting goals of healthcare network actors. The third project uses an institutional change approach to develop a new digital service for youth with mental health issues while simultaneously shifting the culture of the clinic toward people-centered care through participatory service design. We conclude with research directions to leverage the potential of service design for healthcare innovation, including strengthening the dialogue between explanatory and design research, exploring new multidisciplinary collaborations and integrating multiple research methods."
Multiple stakeholder market orientation: a service-dominant logic perspective of the market orientation paradigm,"Line, Nathaniel D. ;  Runyan, Rodney C. ;  Gonzalez-Padron, Tracy",Business and Management ;  Business ethics ;  Market orientation ;  Marketing ;  Social Sciences ;  Stakeholders ;  Theory/Conceptual,"AMS review, 2019, Vol.9 (1-2), p.42-60","The purpose of this research is to propose a comprehensive conceptualization of the market orientation construct that acknowledges the role of salient stakeholders in value co-creation. The proposed multiple stakeholder market orientation (MSMO) construct is a more broadly defined conceptualization of what it means to implement the marketing concept in a multi-stakeholder business environment. The construct is developed within the context of prevailing theoretical perspectives including the service-dominant logic of marketing, stakeholder theory, and the market orientation paradigm. Specifically, the construct is developed as an interconnected operant resource consisting of a stakeholder orientation, a systems orientation, and a shared value orientation."
From customer journeys to consumption journeys: a consumer culture approach to investigating value creation in practice-embedded consumption,"Schau, Hope Jensen ;  Akaka, Melissa Archpru",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual ;  Value creation,"AMS review, 2021, Vol.11 (1-2), p.9-22","Prior research on customer journeys chiefly focuses on identifying, from the firm perspective, firm-customer touchpoints. Importantly, the extant literature begins to maps aggregate firm-customer interactions over time to reveal how sequenced firm-controlled touchpoints contribute to customer experience. These customer journey maps tend to emphasize market actions, specifically purchases, over other, customer-centric touchpoints like use occasions, use experiences, storage and disposal. We extend the firm-centric
customer journey
framework to consider customer-centric touchpoints within a broader social and cultural context for value creation. We propose a consumer-centric
consumption journey
which considers consumption within progressive engagement with a practice or set of practices. We offer a culturally grounded consumption journey framework that highlights the importance of practices, communities, and institutions in value creation, and reveals various experiences and value outcomes. Future research regarding consumption journeys can advance understanding of customer experiences and journeys by investigating a variety of sociocultural influences and outcomes of value creation."
The intermingling of meanings in marketing: semiology and phenomenology in consumer culture theory,"Grace, Sarah C.",Business and Management ;  Culture ;  Marketing ;  Phenomenology ;  Semiotics ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (1-2), p.70-80","This paper explores the construction of meaning in consumer culture through a synthesis of two scholarly streams within the Consumer Culture Theory (CCT) body of knowledge: semiology and phenomenology. Semiology represents consumer culture as a web of meanings—studying cultural meanings as socially agreed-upon structures.  By contrast, phenomenology represents the interpretation and personalization of cultural meanings by consumers—focusing on meanings that emerge from individual lived experience. Combining these two approaches results in a framework that excavates meanings at both the cultural level and the individual level, inviting them into a figure-ground relationship. This relationship between levels of analysis illuminates how meaning in consumer culture is constructed, and how cultural meanings come to constitute a sense of normalcy in modern societies. As all marketing activity is culturally situated, understanding meaning in consumer culture provides an alternative way to understand value in marketing."
Market-shaping: navigating multiple theoretical perspectives,"Nenonen, Suvi ;  Storbacka, Kaj",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (3-4), p.336-353","There is an increasing managerial and scholarly interest in the agential efforts of firms, consumers, public actors, and various collectives to influence market formation and transformation. Determining the essence of market-shaping requires an understanding of who is engaged in the shaping, what is being shaped, and how the shaping efforts are performed. To support making more informed choices about which theories to use when examining this phenomenon, we provide an overview of seven theoretical perspectives, illuminating their conceptual underpinnings and relative strengths. Building on this, we discuss how these perspectives can be used to examine market-shaping, highlighting its typical variations. The paper concludes by a call for greater explicitness, compatibility and parsimony when choosing theoretical perspectives for market-shaping research, and by identifying avenues for further research."
Resurrecting marketing,"Belk, Russell",Abductive logic ;  Algorithims ;  Analytics ;  Big data ;  Business and Management ;  Co-creation ;  Commentary ;  Disruptive innovation ;  Distributed brands ;  Imitation ;  Marketing ;  Marketing RIP ;  Social Sciences,"AMS review, 2020, Vol.10 (3-4), p.168-171","Marketing lays dying, felled by two fatal blows: 1) the shift in control of brands from marketer to consumer; and 2) the shift of many marketing functions from marketing to Big Data, algorithms, and data analytics. To resurrect marketing, we need to fundamentally refocus on marketing in a digital age."
Friendships in marketing: a taxonomy and future research directions,"Banerji, Diptiman ;  Singh, Ramendra ;  Mishra, Prashant",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (3-4), p.223-243","The concept of friendship remains important from societal, academic, and practitioner perspectives. We find that there is a proliferation of research in the marketing discipline on the utilization and applicability of the concept of friendship, but the literature is fragmented. By fragmentation, we refer to the fact that the notion of friendship is tapped in multiple, independent research streams. As a result, there is a lack of an organized and holistic view of friendship-related research in the marketing domain. Drawing on an extensive literature review of 130 papers in more than 30 peer-reviewed scholarly journals across a 37-years time span (1980–2017), this paper synthesizes the extant friendship research in the domain of marketing through a taxonomy, which categorizes the different types of friendship conceptualizations based on two underlying characteristics, or dimensions, the formation of friendship, and consumption timeline. The proposed taxonomy shows the differences as well as the interrelationships between the different publications, giving a systematic view of the research landscape. We suggest future research avenues as well, for further research in the area of marketing-related friendships and highlight why the research is relevant from a real-world perspective."
For re-institutionalizing the marketing discipline in Era V,"Hunt, Shelby D.",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (3-4), p.189-198","Commentaries on the status of the marketing discipline conclude that it is significantly troubled, which raises the question: Do the troubles identified portend a de-institutionalization of the discipline in marketing’s Era IV (1980–2020) and its potential re-institutionalization in Era V (2020-?)? This article examines (1) the marketing discipline’s founding in Era I (1900–1920), (2) how the discipline became institutionalized in Era II (1920–1950), (3) how marketing was re-institutionalized in Era III (1950–1980), and (4) how the discipline’s fragmentation in Era IV (1980–2020) portends its de-institutionalization. The article concludes by arguing for the marketing discipline’s re-institutionalization in Era V (2020-?)."
"Markets, infrastructures and infrastructuring markets","Araujo, Luis ;  Mason, Katy",Business and Management ;  Infrastructure ;  Knowledge ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (3-4), p.240-251","Despite a growing understanding of market infrastructures—the rules and socio-material arrangements that enable agreements on the properties of goods, and the calculation of value, equivalence and exchange—we know little of what lies beneath the arrangements that underpin and are implicated in exchange. The socio-material lens has done much to explain how specific assemblages circulate information and goods, but has done little to explain how different infrastructures configure relations between dispersed market practices. Using the history of
the development of the market for market research
we show how
knowledge-based infrastructures
constitute markets as knowledge objects: new expertise emerged through alliances between academia, government, and private actors form a new occupation embodied in specialist agencies that set themselves up in an infrastructural relation to marketing practices. Our conceptualization of markets as knowledge objects extends extant understandings of markets by showing how: (1) extant knowledge-based infrastructures are drawn on to construct new markets; (2) infrastructural relations emerge between different markets to constitute multiple systems of provision and demand, leading to an increasingly valuable knowledge infrastructure; and (3) organized practices in one market are often heavily reliant on connections to other markets, including knowledge-based infrastructures such as market research services."
The unconscious perception of smells as a driver of consumer responses: a framework integrating the emotion-cognition approach to scent marketing,"De Luca, Ramona ;  Botelho, Delane",Business and Management ;  Cognition & reasoning ;  Consumers ;  Marketing ;  Odors ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (1-2), p.145-161","Previous research demonstrates that odors affect consumers’ behavioral, cognitive, and affective responses to products and environments. Sensory and scent research have prioritized an emotional approach in which consumer responses are primarily affective reactions to smells. However, individuals’ perceptions of their environment are frequently regulated by an unconscious mechanism that does not necessarily involve rational thinking. Therefore, their responses to odors may result from automatic and unconscious cognitive processes that occur without their awareness. We propose that the unconscious odor interpretation better regulates consumers’ responses to odors and behaviors than emotions and that the way in which olfactory information is cognitively processed and integrated into knowledge may address the extent to which odors help individuals to perceive their environment holistically and attribute meanings to events and social phenomena. Through a systematic review of 55 empirical studies on olfaction, we i) discuss the current theoretical approaches to scent marketing and the most relevant empirical findings; ii) propose a cognition-based framework to investigate the underlying mechanisms through which odors are mentally processed to influence consumers’ behavioral, cognitive, and affective responses; and iii) develop a research agenda to encourage further studies on the cognitive processing of scents."
Developing a strong sustainability research program in marketing,"Press, Melea",Business and Management ;  Conceptual ;  Consumer culture theory ;  Critical marketing ;  Increasing impact ;  Marketing ;  Marketing strategy ;  Paradigm shift ;  Research program ;  Social Sciences ;  Strong sustainability ;  Sustainability ;  Theory ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (1-2), p.96-114","This article takes stock of sustainability research in marketing and argues for developing a Strong Sustainability Research (SSR) program, led by a Consumer Culture Theory (CCT) approach. First, I define weak vs. strong sustainability and identify two main problems with continuing to research business with the weak sustainability approach. Second, I discuss past approaches to sustainability research in marketing, which primarily promote weak sustainability. Third, I use the agriculture industry to illustrate how an SSR program in marketing could be developed to bring insights to practitioners and policy makers and build new modes of production, consumption and exchange. Finally, I suggest that the SSR program facilitates collaboration between mainstream marketing and CCT researchers by providing a common ontological platform that can transform epistemological differences into complementary strengths. I argue SSR is a way that marketing research can gain broad impact and relevance."
Legendary luxury brands: inventing the future by reaching to the past,"Carpenter, Gregory S. ;  Barlier, Xavier",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (3-4), p.464-470","Unlike many other brands, luxury brands can enjoy remarkably enduring success. This paper presents an interview with a senior executive responsible for marketing Maison Louis Roederer’s champagnes, including the legendary Cristal, in the United States for the last 20 years. We explore the differences between luxury and mass-market brands, the role of creative vision, how brands remain relevant through innovation while remaining faithful to their history, and how luxury brands create passionate buyers who seek to be a part of the brand, not simply consumers of the brand. We conclude with a discussion of the implications for market orientation, understanding consumers as fans, and other future research topics."
